"Add a page";"Bir sayfa ekle"
"Add feature";"Özellik ekle"
"Allow line return in Title & Subtitles";"Başlık & Altyazıları izin ver çizgi dönüş "
"By checking this, a search field will appear in your folder feature";"Bununla birlikte klasörünüzde bir arama alanı görünecektir."
"Cancel";"İptal et"
"Click on";"Üzerine tıkla"
"Click on a feature to add it to the folder";"Klasöre eklemek için özelliğe tıklayın"
"Click on a page to add it to the folder";"Klasöre eklemek için bir sayfaya tıklayın"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Klasöre eklemek için bir sayfaya tıklayın <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Click on a page to add it to the folder <span id='folder_name' class='folder_name'>%s</span>";"<Span id='klasör_adı' class='klasör_adı'>%s</span> klasörüne eklemek için bir sayfaya tıklayın."
"Close mobile display";"Mobil ekranı kapatın"
"Delete this folder and all its subfolders?";"Bu klasörü ve tüm alt klasörleri sil?"
"Edit folder";"Klasörü düzenle"
"Enable search in folders";"Klasörlerde aramaya izin ver"
"Folder title is required";"Klasör başlığı gereklidir"
"Folders";"Klasörler"
"Inherit global layout";"Genel layout'u al"
"Mobile display";"Mobil ekran"
"New folder";"Yeni klasör"
"No results for your request.";"Yeni talebiniz için sonuç yok."
"Override layout";"Layout'u geçersiz yap"
"Search results";"Sonuçları ara"
"Show cover";"Kapağı göster"
"Show search field";"Arama alanını göster"
"Show title";"Başlığı göster"
"Subtitle";"Altyazı"
"Thumbnail";"Küçük resim"
"Use card design";"Kart tasarımı kullan"
"You cannot add this feature";"Bu özelliği eklenemez"
"You must first complete the current category creation process";"Önce mevcut kategori oluşturma işlemini tamamlamanız gerekir"
"You will lose all unsaved changes, continue?";"Devam ederseniz tüm kaydedilmemiş değişiklikleri kaybedersiniz?"
"to add a folder.";"bir klasör eklemek için."
