"2checkout";"2checkout"
"2checkout Account Number (SID)";"2checkout номер счета (СИД)"
"2checkout Client ID";"2checkout Client ID"
"2checkout Secret";"2checkout Secret"
"Address Mail";"Email"
"Amount";"Сумма"
"Amount of the donation";"Сумма пожертвования"
"An error occurred during process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, попробуйте снова позже."
"An error occurred during process. Please try again later. (missing POST param)";"Произошла ошибка во время процесса. Пожалуйста, попробуйте снова позже. (отсутствует парам)"
"App Name";"Название"
"CVC number :";"Номер cvc :"
"Card Number :";"Номер Карты :"
"Conditions";"Условия"
"Congratulation message";"Поздравление"
"Date of donation";"Дата дарения"
"Donate";"Пожертвовать"
"Enable user to left a message when donating ?";"Разрешить пользователю оставить сообщение?"
"Expiration Date :";"Срок Действия :"
"Free amount ?";"Любая сумма ?"
"General";"Общее"
"Greetings message";"Приветствие"
"Incomplete form or incorrect data entered. Please check your correctly type each field required";"Не верный вход или неверные данные. Пожалуйста, проверьте правильность каждого поля"
"Incomplete form or incorrect data. Please check you correctly typed each field required.";"Неполная форма или неверные данные. Пожалуйста, проверьте вы правильно ввели все необходимые поля."
"Interval between two amount :";"Интервал между двумя суммами :"
"Lastname Firstname";"Фамилия Имя"
"Mail address to send notification :";"Адрес электронной почты для отправки уведомлений :"
"Make a donation";"Сделать пожертвование"
"Message";"Сообщение"
"Message from donator:";"Сообщение от донатор:"
"Minimum amount required ?";"Минимальная сумма ?"
"Minimum donation amount :";"Минимальную сумму пожертвования :"
"New donation received from %s";"Новые пожертвования, полученные от %s"
"No";"Нет"
"Payment Gateway :";"Платежный Шлюз :"
"Paypal adress mail";"PayPal адрес электронной почты"
"Please wait application is loading...";"Пожалуйста, подождите приложение загружается..."
"Received Donations";"Полученные пожертвования"
"Save";"Сохранить"
"Send an email notification when receiving a new donation ?";"Отправить уведомление по электронной почте при получении новых пожертвований ?"
"Tracking of received donations is not available with Paypal as payment gateway";"Отслеживание полученных пожертвований не доступно с PayPal в качестве платежного шлюза "
"Unknown";"Неизвестно"
"Yes";"Да"
"You haven't received any donations yet";"Ты еще не получил пожертвования"
"You received a new donation";"Вы получили новое пожертвование"
"You've donated :";"Вы пожертвовали :"
"Your message";"Ваше сообщение"
"Your name :";"Ваше имя :"
"iOS: donation in browser (safari) ?";"iOS: пожертвование в браузере (Safari) ?"
