"A new comment to your message %s";"%S mesajınıza yeni bir yorum"
"Add sections";"Bölüm ekle"
"Address";"Adres"
"Admin";"yönetim"
"Admin who answered";"Yanıtlayan admin"
"Application name";"Uygulama adı"
"Are you sure to delete this comment?";"Bu yorumu silmek istediğinizden emin misiniz?"
"Are you sure to delete this message?";"Bu mesajı silmek istediğinizden emin misiniz?"
"Attachment";"Ek"
"Button";"Buton"
"By";"tarafından"
"Card";"Kart"
"Closed by Admin";"Yönetici tarafından kapatıldı"
"Compact, card";"Kompakt, kart"
"Compact, list";"Kompakt, liste"
"Connect me!";"Bana bağlan!"
"Cover";"Kapak"
"Customer";"Müşteri"
"Date";"Tarih"
"Delete message";"Mesajı sil"
"Deleted by user.";"Kullanıcı tarafından silindi."
"Disable answer e-mails";"Yanıt e-postalarını devre dışı bırak"
"Display answers from";"den cevapları göster"
"Display type";"Görüntüleme türü."
"E-mail";"E-posta"
"From";"Kimden"
"Global recipient & Admin who created the message";"Mesajı oluşturan admin & global alıcı"
"Global recipient e-mail";"Global alıcı e-postası"
"ID";"ID"
"Image";"Görsel"
"Inbox";"Gelen kutusu"
"Inbox - Replies";"Gelen Kutusu - Yanıtlar"
"Inbox replies";"Gelen kutusu yanıtları"
"Leave a reply";"Yanıt bırak"
"List";"Liste"
"Manage messages";"Mesajları yönet"
"Message";"Mesaj"
"Most recent response";"En son cevap"
"New Inbox Message";"Yeni Gelen Kutusu Mesajı"
"New Inbox reply";"Yeni Gelen yanıt"
"New message limit";"Yeni mesaj sınıtı"
"No messages for now.";"Şimdilik mesaj yok."
"No replies.";"Yanıt yok"
"Only to Admin";"Yalnızca admine"
"Only to global recipient";"Yalnızca global alıcıya"
"Options";"Ayarlar"
"Please fill at least a title.";"Lütfen en az bir başlık doldurun"
"Please select at least one user.";"Lütfen en az bir kullanıcı seçin."
"Registration date";"Kayıt tarihi"
"Remove";"Kaldır"
"Reply";"Cevap"
"Scheduled for %s";"%s için planlandı"
"Search ...";"Ara..."
"Send a push notification";"Push bildirimi gönder"
"Send a push notification to inform users";"Kullanıcılarınızı bilgilendirmek için push bildirimi gönderin"
"Send a push notification to warn user";"Kullanıcıyı uyarmak için mesaj gönder"
"Send answer e-mail to";"Yanıt mailini şu adrese gönder"
"Send message";"Mesaj gönder"
"Send my message at this date (leave empty for instant sending):";"Mesajımı şu tarihte gönder (anlık gönderim için boş bırak):"
"Send to all";"Herkese gönder"
"Slider";"Kaydırıcı"
"Text";"Mesaj"
"Video";"Video"
"You have a new Inbox message.";"Yeni bir gelen kutusu mesajınız var."
"You have a new Inbox reply.";"Yeni Gelen bir yanıt var."
"You have to be connected to use the Inbox. Please connect to your account by clicking on the button below.";"Gelen Kutusunu kullanmak için bağlanmanız gerekiyor. Lütfen aşağıdaki butona tıklayarak hesabınıza bağlanın."
"Your message has been successfully saved";"Mesajınız başarıyla kaydedildi"
"new";"Yeni"
"new reply";"Yeni yanıt"
