"A new contact form has been sent for the following offer:";"Aşağıdaki teklif için yeni bir iletişim formu gönderildi:"
"Add a position";"Bir pozisyon ekle"
"Add category";"Kategori ekle"
"Add company";"Şirket ekle"
"Add place";"Yer ekle"
"Address";"Adres"
"Administrators";"Yöneticiler"
"All fields are required !";"Tüm alanlar gerekli!"
"Alternate name for 'Company'";"""Şirket"" için alternatif isim"
"Alternate name for 'Place'";"""Yer"" için alternatif isim"
"Categories";"Kategoriler"
"Category";"Kategori"
"Category disabled";"Kategori devre dışı bırakıldı"
"Category enabled";"Kategori devreye alındı"
"City";"Şehir"
"Clear";"Temizle"
"Close";"Kapalı"
"Companies";"Şirketler"
"Company";"Şirket"
"Company disabled";"Şirket devre dışı bırakıldı"
"Company enabled";"Şirket devreye alındı"
"Company saved.";"Şirket kaydedildi."
"Contact";"İrtibat"
"Contact e-mail";"İrtibat e-postası"
"Contact form";"İrtibat formu"
"Contract type";"Sözleşme tipi"
"Create a new Category";"Yeni bir kategori oluştur"
"Create a new company";"Yeni bir şirket oluştur."
"Create a new place";"Yeni yer oluştur"
"Create a new position";"Yeni bir pozisyon oluştur"
"Create position";"Pozisyon oluştur"
"Description";"Tanım"
"Disable category";"Kategoriyi devre dışı bırak"
"Disable company";"Şirketi devre dışı bırak"
"Display Search";"Aramayı göster"
"Display contact";"İrtibatı göster"
"Display income";"Geliri göster"
"Display place icon";"Yer ikonunu göster"
"Distance";"Mesafe"
"E-Mail";"E-posta"
"E-mail";"E-posta"
"Email";"E-posta"
"Email & Contact form";"E-posta & İrtibat formu"
"Email successfully sent.";"E-posta başarıyla gönderildi."
"Employee count";"Çalışan sayısı"
"Enable category";"Kategoriyi devreye al"
"Enable company";"Şirketi devreye al"
"For more options use the editor";"Daha fazla opsiyon için editörü kullanın"
"Form error";"Form hatası"
"Form has the following errors";"Formda aşağıdaki hatalar var"
"Full name";"Tam isim"
"General";"Genel"
"Header";"Başlık"
"Hidden";"Gizli"
"Icon";"İkon"
"Import a header";"Başlık içe aktar"
"Import a header image";"Başlık görseli içe aktar"
"Import a logo";"Logo içe aktar"
"Import an icon";"İkon içe aktar"
"Import an icon image";"Bir ikon görsel içe aktar"
"Income from:";"Gelir:"
"Input your keywords ...";"Anahtar kelimelerinizi girin"
"Is active";"Aktif"
"Job";"Meslek"
"Keywords";"Anahtar kelimeler"
"Keywords, coma separated";"Anahtar kelimeler (virgülle ayrılmış)"
"Locality";"Yerleşim yeri"
"Logo";"Logo"
"Manage";"Yönet"
"Manage company";"Şirketi yönet"
"Manage place";"Yeri yönet"
"Message";"Mesaj"
"Missing category_id";"Eksik kategori_id'si"
"My companies";"Şirketlerim"
"Name";"İsim"
"New contact for: ";"için yeni irtibat:"
"New contact for: %s";"%s için yeni bağlantı"
"None";"Hiçbiri"
"OK";"Tamam"
"Place";"Yer"
"Place enabled";"Yer devreye alındı"
"Place saved.";"Yer kaydedildi."
"Place successfully deleted.";"Yer başarıyla silindi."
"Places";"Yerler."
"Positions";"Pozisyonlar"
"Publish";"Yayınla"
"Required fields are missing !";"Zorunlu alanlar eksik!"
"Save";"Kaydet"
"Search";"Arama"
"Search...";"Ara..."
"Select a city ...";"Şehir seç"
"Submit";"Gönder"
"Success.";"Başarılı."
"Thank you";"Teşekkürler"
"The category you are trying to edit doesn't exists.";"Düzenlemeye çalıştığınız kategori mevcut değil."
"The company you are trying to edit doesn't exists.";"Düzenlemeye çalıştığınız şirket mevcut değil."
"The place is successfully created.";"Yer başarıyla oluşturuldu."
"The place you are trying to edit doesn't exists.";"Düzenlemeye çalıştığınız yer mevcut değil."
"This place is inactive.";"Bu yer aktif değil."
"Use global configuration";"Genel yapılandırmayı kullan"
"Views";"Görüntülemeler"
"Website";"Web site"
"You are about to remove this Category ! Are you sure ?";"Bu kategoriyi kaldırmak üzeresiniz! Emin misiniz?"
"You are about to remove this Company and all the associated Positions ! Are you sure ?";"Bu şirketi ve ilgili tüm pozisyonları kaldırmak üzeresiniz! Emin misiniz?"
"You are about to remove this Place ! Are you sure ?";"Bu yeri kaldırmak üzeresiniz! Emin misiniz?"
"You are not allowed to create a place for this company";"Bu şirket için yer oluşturma izniniz yok."
"administrators";"Yöneticiler"
"banner";"Banner"
"contract_type";"sözleşme_tipi"
"description";"Açıklama"
"display_contact";"irtibat_göster"
"email";"e-posta"
"employee_count";"İşven_sayısı"
"header";"Başlık"
"icon";"İkon"
"income_from";"gelir"
"income_to";"gelir"
"keywords";"Anahtar kelimeler"
"location";"Lokasyon"
"logo";"Logo"
"name";"isim"
"to:";"Kime:"
"website";"Web site"
