"Choose File";"Dosya seç"
"Description";"Açıklama"
"Export";"Dışa aktar"
"File to import :";"İçe aktarılacak dosya:"
"IMPORT EXPORT APP USER";"Uygulama kullanıcısını içe/dışa aktar"
"Import";"İçe aktar"
"Info successfully saved";"Bilgi başarıyla kaydedildi"
"Is password send to users by email?";"Şifre kullanıcılara e-posta ile mi gönderiliyor?"
"No file chosen";"Dosya seçilmedi"
"Please select valid file!";"Lütfen geçerli bir dosya seç!"
"Please type below the welcome email to be sent to the users upon account creation or when the users DB is imported.You can use the tag [firstname],[last-name],[email],[password] and [app-name] to personalize the email body and subject.";"Hesap oluştururken veya kullanıcılar DB içe aktarıldığında kullanıcılara gönderilecek hoşgeldin e-postasının altına yazabilirsiniz. [Firstname], [last name], [email], [password] ve [app-name] etiketlerini kullanabilirsiniz.]"
"Subject";"Konu"
"The user database needs to be submitted in csv format. Please download a sample file here:";"Kullanıcı veritabanının csv formatında sunulması gerekiyor. Lütfen buradan bir örnek dosya indirin:"
"There was an error reading the file, because file dose not contain any records.";"Dosya okunurken bir hata oluştu, çünkü dosya herhangi bir kayıt içermiyor."
"There was an error reading the file-";"Dosya okunurken bir hata oluştu."
"This message was sent to";"Bu mesaj gönderildi"
"Using this functionality you'll be able to import an external database of existing users. Upon importing of the file, a welcome email will be sent to the users with the new App account details.";"Bu işlevselliği kullanarak mevcut kullanıcıların harici bir veritabanını içe aktarabileceksiniz. Dosyayı içe aktardıktan sonra, yeni Uygulama hesabı ayrıntıları ile kullanıcılara hoş bir e-posta gönderilecektir."
"example.csv";"örnek.cvs"
"record was imported successfully and the following records were skipped";"Kayıt başarıyla alındı ​​ve aşağıdaki kayıtlar atlandı"
"record was imported successfully.";"Kayıt başarıyla alındı."
"record were imported successfully";"kayıt başarıyla alındı"
"records were imported successfully";"Kayıtlar başarıyla alındı."
"records were imported successfully and the following records were skipped";"Kayıtlar başarıyla alındı ​​ve aşağıdaki kayıtlar atlandı"
"register successfully and send mail to : ";"başarıyla kaydolun ve aşağıdaki adrese posta gönderin:"
