"'Near me' radius (in km):";"'Yakınımda' yarıçap (km):"
"Add a comment";"Yorum ekle"
"An error occurred while deleting this answer. Please try again later.";"Bu cevap silinirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"COMMENTS";"Yorumlar"
"Create a news";"Haber yarat"
"Create a news:";"Bir haber oluşturun:"
"Delete this info";"Bu bilgiyi sil"
"Flag";"İşaretle"
"Flag as inappropriate";"Uygunsuz olarak işaretle"
"Hide this info";"Bu bilgiyi gizle"
"Information successfully deleted";"Bilgi başarıyla silindi"
"Information successfully hidden";"Bilgi başarıyla gizlendi"
"Information successfully saved";"Bilgi başarıyla kaydedildi"
"Information successfully shown";"Bilgi başarıyla gösterildi"
"Insert a";"Ekle"
"It will be visible only after validation by our team.";"Ekibimiz tarafından doğrulamadan sonra gösterilir olacaktır."
"My customers answers";"Müşteri cevapları"
"My customers' comments";"Müşteri yorumları"
"Near me";"Yakınımda"
"Near me settings";"Yakınımda ayarları"
"Near me' radius (in km):";"Yarıçap yakınımda (Km):"
"New post";"Yeni gönderi"
"No comment for now";"Şu an için yorum yok"
"No comments for now";"Şu an için yorum yok"
"Post";"Posta"
"Publishing date";"Yayın tarihi"
"Radius";"Yarıçap"
"Radius must be a valid numeric value.";"Yarıçap numerik değer olmalı."
"Radius must be provided.";"Yarıçap belirtilmeli."
"Read More";"Daha fazla oku"
"Recent";"En son"
"Show this info";"Bu bilgiyi göster"
"There is no comment for this news";"Bu habere ait yorum bulunmuyor"
"Was flagged as inappropriate";"Uygunsuz olarak işaretlendi"
"You can't like more than once the same news";"Aynı haber için bir kereden fazla beğeni yapılamaz."
"You have to enter a text message.";"Bir text mesajı girmelisiniz."
"You need to be connected to create a post";"Bir yazı oluşturmak için internete bağlı olmanız gerekir"
"Your flag has successfully been notified";"İşaretlemeniz başarıyla bildirilmiştir"
"Your like has been successfully added";"Beğeniniz başarıyla eklendi"
"Your message has been successfully saved.";"Mesajınız başarıyla kaydedildi"
"Your post was successfully added";"Yazınız başarıyla eklendi "
"en";"ing"
