"%s Subscription for %s";"%s Подписка на %s"
"<a href=\"%s\">Click here</a> to go back to your applications list";"<a href=\"%s\">Нажмите здесь</a> чтобы вернуться к списку приложений"
"Active";"Активный"
"Address 1";"Район, улица, дом..."
"Address 2";"Адрес 2"
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Произошла ошибка при обработке платежа. Для получения более подробной информации, пожалуйста, не стесняйтесь обращаться к нам."
"An error occurred while processing your order. Please, check your 2Checkout credentials or try again later.";"Произошла ошибка во время обработки вашего заказа. Пожалуйста, проверьте свои учетные данные 2checkout или повторите попытку позже."
"An error occurred while processing your order. Please, try again later.";"Произошла ошибка при обработке вашего заказа. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please try again later";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже"
"An error occurred while saving. The selected subscription is not valid.";"Произошла ошибка при сохранении. Выбранная подписка не действует."
"An offline payment method will <strong>not</strong> be associated with any online payment method. Users will have to pay you by checks, bank transfer...You'll have to edit your invoices manually.";"Метод оффлайн оплата <strong>не</strong> это связано с каким-либо способ онлайн оплаты. Пользователям придется платить вам по чекам, банковским переводом, вам придется изменить свои счета вручную."
"Are you sure you want to delete this plan?";"Вы уверены, что хотите удалить этот тариф?"
"Be careful: a 2Checkout stopped recurrence can only be reactivated by a 2Checkout representative.";"Будьте осторожны: 2Checkout остановил рецидив, он может быть возобновлен только представителем 2Checkout"
"Be careful: a Stripe stopped recurrence can only be reactivated manually in your Stripe Admin panel.";"Будьте осторожны: Stripe остановил рецидивов может быть возобновлена вручную в панели администратора полосой."
"Be sure to fill in Admob settings in Settings > General section of your back office.";"Будьте уверены, чтобы заполнить параметры в admob в Настройки > общий раздел вашего бэк-офиса."
"Billing Address";"Платежные данные"
"By checking this box, you agree <a href=\"%s\" target=\"_blank\" class=\"underline\">to our terms and conditions</a>";"Отметив галочкой, вы соглашаетесь <a href=\"%s\" target=\"_blank\" class=\"underline\">с нашими правилами использования</a>"
"By checking this box, you agree <a id=\"show_tos\" href=\"javascript:void(0);\" target=\"_blank\" class=\"underline\">to our terms and conditions</a>";"Установив этот флажок вы соглашаетесь <a id=\"show_tos\" href=\"javascript:void(0);\" target=\"_blank\" class=\"underline\">чтобы наши условия</a>"
"CVC";"CVC"
"Card number";"Номер карты"
"Charged to your client every month";"Отсылается вашему клиенту каждый месяц"
"Charged to your client every year";"Отсылается вашему клиенту каждый год"
"Charged to your client when placing the order";"Отсылается вашему клиенту при оформлении заказа"
"Choose features";"Выберите функции"
"Choose the subscription that suits you best:";"Выберите подписку, которая подходит вам лучше всего:"
"Choose your Payment method";"Выбирите метод оплаты"
"City";"Город"
"Click here";"Нажмите здесь"
"Confirmation";"Подтверждение"
"Create a new subscription";"Создать новую подписку"
"Creation";"Создание"
"Describe here this plan. Will be displayed on the front end";"Опишите здесь этот план. Будет отображаться в начале"
"Don't forget to configure your message for offline plans in Settings > Sales > Configuration";"Не забудьте настроить ваше сообщение для автономных планов в Настройки> Продажи> Конфигурация"
"Each price must be entered excluding tax";"Каждая цена должна быть введена без учета налога"
"Edit the subscription %s";"Редактирование подписки %s"
"Expiration";"Окончание"
"Expiration date";"Срок годности"
"Give a name to this plan. Will be displayed on the front end";"Дайте имя этому плану. Будет отображаться вначале"
"I'll pay with an offline payment mode";"Я заплачу в режиме офлайн оплаты"
"I'll pay with an offline payment mode (check, bank transfer...)";"Я заплачу в автономном режиме оплаты (чек, банковский перевод ...)"
"If you chose an offline payment, your subscription will be activated by an admin when your payment is received.";"Если вы выбрали автономный платеж, ваша подписка будет активирована администратором после получения вашего платежа."
"List of your plans";"Список Ваших тарифов"
"List of your subscriptions";"Список ваших подписок"
"MM";"ММ"
"Monthly";"Ежемесячно"
"New sale on your platform";"Новая распродажа на вашей платформе"
"No recurring line items to stop.";"Нет повторяющихся позиций для остановки."
"None";"Ни одной"
"One-off";"Единовременный"
"Order's details";"Подробности заказа"
"Payment";"Оплата"
"Payment Method:";"Способ оплаты"
"Payment Option";"Настройки оплаты"
"Payment secured by <img src=\"%s\" width=\"100\" title=\"%s\" />";"Оплатить с помощью <img src=\"%s\" width=\"100\" title=\"%s\" />"
"Payment secured by <img src=\"%s\" width=\"100\" title=\"2Checkout\" />";"Оплатить через <img src=\"%s\" width=\"100\" title=\"2Checkout\" />"
"Payment secured by <img src=\"%s\" width=\"100\" title=\"Paypal\" />";"Оплатить через <img src=\"%s\" width=\"100\" title=\"Paypal\" />"
"Payment secured by <img src=\"%s\" width=\"100\" title=\"Stripe\" />";"Оплата под залог <img src=\"%s\" width=\"100\" title=\"Stripe\" />"
"Please choose a payment method for this plan.";"Пожалуйста, выберите способ оплаты для этого тарифа."
"Please fill in your card information in order to pay with Stripe:";"Пожалуйста, заполните данные Вашей карты для оплаты Stripe:"
"Please, enter a company";"Пожалуйста, введите имя компании"
"Please, enter a country";"Пожалуйста, введите страну"
"Please, enter a description.";"Пожалуйста, введите описание."
"Please, enter a name.";"Пожалуйста, введите имя."
"Please, enter an address";"Пожалуйста, введите адрес"
"Pricing";"Цены"
"Proceed to payment?";"Перейти к оплате?"
"Recurring";"Периодичность"
"Setup Fee";"Настроить оплату"
"Setup fee";"Настроить оплату"
"Sorry, but no payment method was found.";"Извините, но способ оплаты не найден."
"State/Province";"Район"
"Subscription";"Подписка"
"Subscription for";"Подписка на"
"Subscription successfully saved";"Подписка успешно сохранена"
"Subtotal";"Промежуточный итог"
"Thanks!";"Спасибо!"
"The monthly price is not a valid price (e.g. 12.34)";"Цена за месяц не является действительной (например, 12,34)"
"The setup fee is not a valid price (e.g. 12.34)";"Плата за установку не является действительной ценой (например, 12.34)"
"The user %s requests you to publish the app %s.";"Пользователь %s не просит Вас опубликовать приложение на %s."
"The yearly price is not a valid price (e.g. 12.34)";"Годовая цена не является действительной (например 12,34)"
"This plan allows offline payments method (manual management)";"Этот план допускает метод автономных платежей (ручное управление)"
"This subscription is active";"Эта подписка активна"
"Use Owner AdMob";"Использовать наш AdMob"
"VAT Number";"Номер НДС"
"Verification number:";"Номер проверки:"
"We were unable to deactivate their subscription on %s. Please, do it manually.";"Мы не смогли деактивировать их подписку на% s. Пожалуйста, сделайте это вручную."
"YYYY";"YYYY"
"Yearly";"Ежегодно"
"You already have a subscription for this application";"У вас уже есть подписка для этого приложения"
"You are almost done! After subscribing, your app can be published on both the AppStore and the Google Play.";"Вы почти закончили! Пора оплатить подписку!<br>После оплаты, Вы сможете снова работать со своим приложением! Затем по запросу опубликовать его на Google Play и App Store!<br>Подробнее о тарифах <a href=\"http://appglobus.com/тарифы/\">тут</a>"
"You can choose which feature will be accessible with your plan. By default, all features are allowed.";"Вы можете выбрать функцию, которая будет доступна с вашим тарифным планом. По умолчанию, все функции доступны.."
"You don't have any subscriptions yet";"У вас пока нет подписок"
"You have chosen an offline plan. Once submitted, your subscription will be activated by an admin when your payment is received.";"Вы выбрали автономную план. После отправки, ваша Подписка будет активирована администратором, когда ваш платеж получен."
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Вы почти закончили! Пора оплатить подписку!<br>После оплаты, Вы сможете снова работать со своим приложением! Затем по запросу опубликовать его на Google Play и App Store!<br>Подробнее о тарифах <a href=\"http://appglobus.com/тарифы/\">тут</a>"
"You've made a sale!";"Вы сделали продажу!"
"Your VAT Number is not valid";"Ваш номер ИНН не действует"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Ваш заказ был отменен. Если вам нужна помощь, чтобы оформить заказ, пожалуйста, не стесняйтесь обращаться к нам."
"Your order has been successfully paid. Your application will be published very soon.";"Ваш заказ был успешно оплачен. Ваше приложение будет опубликована в ближайшее время."
"Your subscription must have at least one price";"Ваша подписка должна иметь по крайней мере одну цену"
"Zip Code";"Индекс"
"price";"цена"
