"%s - Account creation";"%s – Hesap oluşturma"
"%s - Your new password";"%s – Yeni şifreniz"
"A request to reset your password has been made.";"Şifrenizi sıfırlamak için bir istek yapılmıştır."
"An error occurred while connecting to your Facebook account. Please try again later";"Facebook hesabınıza bağlanırken bir hata oluştu. Daha sonra tekrar deneyiniz"
"Are you sure you want to remove this user?";"Bu kullanıcıyı kaldırmak istediğinizden emin misiniz?"
"Change Password";"Şifreyi değiştir"
"Civility";"Nezaket"
"Congratulations,";"Tebrikler,"
"Create";"Oluştur"
"Create a new user";"Yeni kullanıcı oluştur"
"Create an account";"Hesap oluştur"
"Customer";"Müşteri"
"Customers";"Müşteriler"
"Disconnect";"Bağlantı yok"
"Edit the user %s";"%s kullanıcıyı düzenle"
"First name";"Adı"
"Forgot your password?";"Şifrenizi mi unuttunuz?"
"Gender";"Cinsiyet"
"Here are your credentials:";"Kimlik bilgileriniz:"
"I accept the <u>privacy policy</u>";"Gizlilik politikasını <u>kabul ediyorum</u>"
"I accept the privacy policy";"Gizlilik politikasın kabul ediyorum."
"If you encounter any problems, do not hesitate to contact us:";"Eğer herhangi bir sorunla karşılaşırsanız, lütfen bizimle irtibata geçmekten çekinmeyin:"
"Last name";"Soyad"
"Log-in with Facebook";"Facebook ile gir"
"Login:";"Giriş:"
"Miss";"Bayan"
"Mr";"Bayan"
"Mrs";"Bay"
"My Account";"Hesabım"
"My application's users";"Uygulama kullanıcıları"
"No user for now.";"Şu an için kullanıcı yok."
"No user match your request.";"Talebiniz ile eşleşen kullanıcı yok."
"Old Password";"Önceki şifre"
"Or with your account";"ya da senin hesabınla"
"Please enter your email address. We'll send you your password right now.";"E-posta adresinizi girin. Size şifrenizi göndereceğiz."
"Please log in with your mobile phone";"Cep telefonu ile Giriş Yapın"
"Privacy Policy";"Gizlilik Politikası"
"See you soon,";"Yakında görüşürüz,"
"Show me in ranking";"Sıralamamı göster"
"The old email address does not match the entered email address.";"Eski e-posta adresi girdiğiniz e-posta adresi ile eşleşmiyor."
"This user can access the pages locked by the ""Locker"" feature";"Bu kullanıcı ""Locker"" özelliği ile kilitli sayfaları erişebilir"
"This user is visible in ranking";"Bu kullanıcı sıralamasında görünür"
"Title";"Başlık"
"User";"Kullanıcı"
"User Information";"Kullanıcı bilgisi"
"Users";"Kullanıcılar"
"We are sorry but the %s account is already linked to one of our customers";"Üzgünüz ancak% s hesap müşterilerimizin birine bağlıdır"
"We are sorry but this nickname is already used";"Üzgünüz, bu kullanıcı adı kullanılıyor."
"We are sorry but this nickname is not valid. Use only alphanumerical characters and underscores and use 15 characters maximum";"Üzgünüz, bu kullanıcı geçerli değil. Yalnızca alfasayısal karakterler ile alt çizgiler kullanın ve maksimum 15 karakter kullanın."
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Hesabınızı oluşturduk.Bu hesapla mevcut tüm fonksiyonları kullanabilirsiniz."
"You must agree to our privacy policy to create an account.";"Hesap oluşturmak için gizlilik politikamızı kabul etmelisiniz."
"You must fill firstname and lastname fields.";"İsim soyisim alanlarını doldurmalısınız."
"Your account has been successfully saved";"Hesabınız başarıyla kaydedildi"
"Your points";"Puanlarınız"
