"Access restricted";"Доступ ограничен"
"Account";"Аккаунт"
"Activated";"Активированный"
"Address Mail";"Адрес Электронной Почты"
"Amount";"Сумма"
"Amount of the subscription";"Сумма подписки"
"An error occurred during process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, попробуйте снова позже."
"An error occurred during process. Please try again later. (missing POST param)";"Произошла ошибка во время процесса. Пожалуйста, попробуйте снова позже. (отсутствует параметр POST)"
"App Name";"Название Приложения "
"CVC number :";"Номер CVC :"
"Card Number :";"Номер Карты :"
"Choose the features to lock:";"Выбрать функции для блокировки:"
"Conditions";"Условия"
"Confirm payment";"Подтверждение оплаты"
"Congratulation message";"Поздравление "
"Date of subscription";"Дата подписки"
"Enable user to left a message when subscribing ?";"Позволить пользователю оставлять сообщение при подписке ?"
"Expiration Date :";"Дата Окончания Срока Действия :"
"Free amount ?";"Свободная сумма ?"
"General";"Общие"
"Greetings message";"Приветственное сообщение"
"Incomplete form or incorrect data entered. Please check your correctly type each field required";"Неполная форма или введены неверные данные. Пожалуйста, проверьте правильность ввода каждого поля"
"Incomplete form or incorrect data. Please check you correctly typed each field required.";"Неполная форма или неверны данные. Пожалуйста, проверьте правильность ввода каждого поля"
"Interval between two amount :";"Интервал между двумя суммами :"
"Lastname Firstname";"Фамилия Имя"
"Lock the entire application?";"Заблокировать всё приложение?"
"Mail address to send notification :";"Адрес электронной почты для отправки уведомлений :"
"Make a subscription";"Подписаться"
"Message";"Сообщение"
"Message from subscriber:";"Сообщение от подписчика:"
"Minimum amount required ?";"Минимальная сумма требуется ?"
"Minimum subscription amount :";"Сумма подписки :"
"New subscription received from %s";"Новая подписка получена от %s"
"No";"Нет"
"Page name";"Название страницы "
"Payment Gateway :";"Платежный Шлюз :"
"Paypal adress mail";"PayPal адрес электронной почты"
"Please add few users to enable this feature";"Пожалуйста, добавьте несколько пользователей для включения этой функции"
"Please wait application is loading...";"Пожалуйста, подождите приложение загружается..."
"QRCode";"QR код"
"Received Subscriptions";"Все подписки"
"Remove";"Удалить"
"Restrict Access";"Ограничить Доступ"
"Save";"Сохранить"
"Select Customer";"Выберите Клиента"
"Select Customer:";"Выберите Клиента:"
"Select Role";"Выберите Роль"
"Select Role:";"Выберите Роль:"
"Send an email notification when receiving a new subscription ?";"Отправить уведомление по электронной почте при получении новых подписок ?"
"Social Sharing";"Социальный обмен"
"Subscribe";"Подписаться"
"Subscribe now";"Подпишитесь сейчас "
"Tracking of received subscriptions is not available with Paypal as payment gateway";"Отслеживание полученных подписок не доступно с PayPal в качестве платежного шлюза "
"Unknown";"Неизвестно"
"Unlock by:";"Разблокировать:"
"Use a test payment?";"Использовать тестовый платеж?"
"User Email";"Email Пользователя"
"Users with Access";"Пользователи с доступом"
"Yes";"Да"
"You haven't received any subscriptions yet";"Ещё никто не подписался"
"You received a new subscription";"Вы получили новую подписку"
"You've subscribed :";"Вы подписались :"
"Your message";"Ваше сообщение"
"Your name :";"Ваше имя :"
"iOS: subscription in browser (safari) ?";"для iOS: подписка в браузере (Safari) ?"
