"";"Опрос"
"%s must be a numerical value";"%s должна быть нумерация"
"%s must be a valid date (e.g. dd/mm/yyyy)";"%s дата должна быть в формате (e.g. dd/mm/yyyy)"
"%s must be a valid email address";"%s должен быть верный email"
"%s must be filled";"%s должен быть заполнен"
"Add Image";"Добавить фото"
"Add a logic trigger";"Добавить логический триггер"
"Add a question";"Добавить вопрос"
"Add a section";"Доб/Раздел"
"Add an option";"Добавить опцию"
"Always";"Всегда"
"An error occurred";"Произошла ошибка"
"An error occurred while saving";"Ошибка при сохранении"
"An error occurred while saving. A field can\'t be identified.";"Произошла ошибка при сохранении. Поле неможет быть идентифицировано."
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Попробуйте позже"
"An identical published survey already exists!";"Идентичный опрос уже опубликован!"
"Answer is required";"Ответ важен."
"Answer must be a numerical value";"Должны быть циферки"
"Answer must be a valid date";"В ответе не верная дата"
"Answer must be a valid email";"В ответе не верный email"
"Are you sure you want to publish this survey? You will not be able to modify it once it has been published.";"Вы уверены, что хотите опубликовать этот опрос? Вы уже не сможете изменить его, после публикации."
"Are you sure you want to remove this question?";"Вы уверены. что хотите удалить вопрос?"
"Are you sure you want to remove this section?";"Вы хотите удалить этот раздел"
"Are you sure you want to remove this trigger?";"Вы уверены, что хотите удалить этот триггер?"
"Cancel";"Сброс"
"Checkbox";"Чекбокс"
"Choose a question type";"Выбрать тип вопроса"
"Close";"Закрыть"
"Current survey";"Текущий опрос"
"Date/Hour";"Дата/Время"
"Delete";"Удалить"
"Download CSV";"Скачать CSV"
"Drop down";"Списком"
"Edit question %s";"Изменить вопрос %s"
"End survey";"Окончить опрос"
"Error";"Ошибка"
"Field name";"Название поля"
"Geolocation";"Геолокация"
"Hide question";"Скрыть вопрос"
"Home";"Главная"
"Image";"фото"
"Import from Library";"Импорт из библиотеки"
"Manage";"Управление"
"Manage logic triggers";"Управление логикой триггера"
"Manage model";"Управление моделью опросника"
"Manage options";"Упрвелние опциями"
"Multiline text";"Многострочный текст"
"Name";"Название"
"Next";"Далее"
"No survey at the moment!";"Нет опросов на данный момент"
"No uploaded image";"Нет загруженного изображения"
"Number";"Цифры"
"OK";"ОК"
"Option";"Опция"
"Please enter a name to publish this survey.";"Введите название, чтобы опубликовать этот опрос."
"Please enter a thank you message to publish this survey.";"Введите ""спасибочное сообщение"", чтобы опубликовать этот опрос."
"Please select a value";"Пожалуйста, выберите значение"
"Previous";"Раньше"
"Previous survey(s)";"Прошлый опрос"
"Publish";"Опубликовать"
"Publish survey";"Публичный опрос"
"Question";"Вопрос"
"Radio";"Радио"
"Results";"Результаты"
"Results of published surveys will appear here.";"Здесь будет показан результат опубликованного опроса."
"Send";"Отправить"
"Skip to question";"Пропустить"
"Survey successfully published";"Опрос успешно опубликован"
"Take a picture";"Сделать снимок"
"Text";"Текст"
"Thank you message";"Спасибное сообщение"
"This is a preview of your survey, it shows current sections and questions set in the editor.";"Это превью вашего опросника, он показывает текущие разделы и вопросы, заданные в редакторе."
"This is the last question. There is no questions you can skip to or hide.";"Это был последний вопрос. Далее нет вопросов, которые можно пропускать или скрывать."
"This name has already been used for a published survey.";"Это название уже используется в опубликованном опросе."
"This name will not be visible to users, it will be shown in the results view.";"Это имя не будет видно другим пользователям, оно будет отображаться только в результатах"
"This question is required";"Этот вопрос важен"
"Total answers";"Все ответы"
"Unrecognized image format";"Неподдерживаемый формат изображения"
"View results";"Смотреть результаты"
"When answer is";"Если ответит"
"You have to choose a question type.";"Вы должны выбрать тип вопроса."
"Your users will see this message once their survey answers sent.";"Ваши пользователи увидят это сообщение, как только их ответы будут отправлены"
"answer(s)";"ответ(ы)"
