"API Keys";"API Anahtarları"
"Api Keys";"Api Anahtarları"
"Api Keys successfully saved";"Api Anahtarları başarıyla kaydedildi"
"Api Users";"Api kullanıcıları"
"Authenticate";"Kimliği doğrula"
"Backoffice options";"Backoffice ayarları"
"Clear cache";"Cache'i temizle"
"Clear logs";"Kayıtları temizle"
"Create a new user";"Yeni kullanıcı yarat"
"Created At";"de yaratıldı"
"Exists";"Mevcut"
"Forgot password";"Şifremi unuttum"
"Grant user";"Kullanıcıyı onaylayın"
"List of your users";"Kullanıcılarınızın listesi"
"Rebuild manifest";"Yeniden manifest dosyası oluştur"
"Revoke user";"Kullanıcıyı kaldır"
"Select API access";"API adresi erişimi"
"Update";"Güncelle"
"You don't have any users yet";"Henüz hiç kullanıcınız yok."
