"App Name";"Uygulama adı"
"Area";"Alan"
"Border Blue";"Mavi Kenar"
"Border Green";"Yeşil Kenar"
"Border Grey";"Gri Kenar"
"Border Purple";"Mor Kenarlık"
"Border Red";"Kırmızı Kenarlık"
"Border Yellow";"Sarı Kenarlık"
"Buttons";"Butonlar"
"Color blue";"Mavi"
"Color green";"Yeşil"
"Color purple";"Mor"
"Color red";"Kırmızı"
"Color yellow";"Sarı"
"Company or Fullname";"Şirket veya Fullname"
"Contact e-mail";"İletişim e-posta"
"Content background";"İçerik arka planı"
"Content color";"İçerik rengi"
"Country";"Ülke"
"Customize My Editor";"Editörümü kişiselleştir"
"Delete/Cancel buttons";"Sil/İptal et butonları"
"Drop Down";"Aşağı açılan"
"E-mail";"E-posta"
"Enable GDPR features & rules";"GDPR özellikleri ve kuralları etkinleştir "
"Enable White-Label";"Beyaz-Etiket Etkinleştir "
"Favicon";"Site ikonu"
"Font Color blue";"Mavi font"
"Full address";"Tam adresi"
"General";"Genel"
"Grey buttons";"Gri butonlar"
"Header";"Üst bilgi"
"In application of the GDPR regulation text, you must fullfill legal contact informations, whether you are a Company or an Individual.";"GDPR Yönetmelik metnin uygulamada, bir Şirket ya da Bireysel olsun yasal iletişim bilgilerine yerine getirmek gerekir."
"Input flat";"Bilgi alanı"
"Logo";"Logo"
"Menu";"Menü"
"Page";"Sayfa"
"Phone";"Telefon"
"Sidebar background";"Kenar çubuğu"
"Step menu background";"Adım menüsü"
"Titles";"Başlıklar"
"White-Label name";"Beyaz Etiket adı"
