"Additionnal Information";"Ek bilgi"
"An error occurred while deleting the push. Please try again later.";"Push silinirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"And a radius (in Km):";"Ve bir yarıçap (Km):"
"Android";"Android"
"Creation date";"Oluşturma tarihi"
"Custom URL";"Özel URL"
"Enter a location:";"Bir lokasyon girin:"
"GCM Key";"GCM Anahtarı"
"I want to send it";"Göndermek istiyorum"
"Keys successfully saved";"Anahtar başarıyla kaydedildi"
"Message";"Mesaj"
"Message:";"Mesaj:"
"No device found for this user";"Bu kullanıcı için cihaz bulunamadı"
"No items.";"Öğe yok"
"Open a feature or a custom URL";"Bir özelliği veya özel bir URL'i aç"
"Pending";"Bekliyor"
"Please enter an expiration date for your message:";"Lütfen mesajınız için bir son kullanma tarihi girin:"
"Project Number";"Proje numarası"
"Push Notifications";"Bildirim gönderme"
"Push Notifications Settings";"Bildirim gönderme ayarları"
"Push successfully deleted.";"Push başarıyla silindi."
"Radius";"Yarıçap"
"Send to a specific location";"Özel bir lokasyona gönderin"
"Send to all applications";"Tüm uygulamalara gönder"
"Send to all my users";"Tüm kullanıcılarıma yolla"
"Send to no specific locations";"Belirli yerlere gönder"
"Send to specific topics";"Belirli konulara gönder"
"Send to specific users";"Belirli kullanıcılara gönder"
"Sender ID";"Yollayan ID"
"Sending date";"Yollama tarihi"
"The duration limit must be higher than the sent date";"Gönderme süresi gönderme tarihinden sonraki bir tarih olmalıdır"
"Topics";"Konular"
"Users";"Kullanıcılar"
"You must choose a topic before sending your message.";"Mesajınızı göndermeden önce bir konu seçmelisiniz."
"You must choose at least one user before sending your message.";"Mesajınızı göndermeden önce en az bir kullanıcı seçmelisiniz."
"Your app must be published to send a push notification.";"Bildirim gönderebilmeniz için app nizin yayınlanmış olması gereklidir."
"Your message has been saved successfully and will be sent at the entered date";"Mesajınız başarıyla kaydedildi ve girilen tarihte gönderilecektir"
"Your message has been saved successfully and will be sent in a few minutes";"Mesajınız başarıyla kaydedildi ve bir kaç dakika içinde gönderilecektir"
"Your message has been saved successfully.";"Mesajınız başarıyla kaydedildi."
"and users entering the area";"ve kullanıcıların alanına giren"
"for a limited period";"sınırlı bir süre için"
"now";"şimdi"
"on a specific date";"belirli bir tarihte"
