"%s must be a numerical value";"%s sayısal bir değer olmalı"
"%s must be a valid date (e.g. dd/mm/yyyy)";"%s geçerli bir tarih olmalıdır (ör. gg / aa / yyyy)"
"%s must be a valid email address";"%s geçerli bir e-posta adresi olmalı"
"%s must be filled";"%s dolu olmalı"
"Add a grade";"Puan ekle"
"Add a logic trigger";"Bir mantık tetikleyicisi ekle"
"Add a picture";"Resim ekle"
"Add a question";"Soru ekle"
"Add a section";"Bölüm ekle"
"Add an option";"Opsiyon ekle"
"All defined options must have a label!";"Tüm tanımlanmış seçeneklerin bir etiketi olmalıdır!"
"Always";"Her zaman"
"An error occurred";"Kaydederken bir hata oluştu"
"An error occurred while saving";"Kaydedilirken bir hata oluştu"
"An error occurred while saving. A field can\'t be identified.";"Kaydederken bir hata oluştu. Bir alan tanımlanamıyor."
"An error occurred while saving. Please try again later.";"Kaydederken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An identical published quiz already exists!";"Benzer yayınlanmış bir quiz var."
"An unexpected error occured";"Beklenmeyen bir hata oluştu."
"Answer is required";"Cevap gerekiyor."
"Answer must be a numerical value";"Cevap sayısal bir değer olmalı."
"Answer must be a valid date";"Cevap geçerli bir tarih olmalı."
"Answer must be a valid email";"Cevap geçerli bir e-posta adresi olmalı"
"Answers:";"Cevaplar:"
"Are you sure you want to delete this grade ?";"Bu sınıfı silmek istediğinizden emin misiniz?"
"Are you sure you want to publish this quiz? You will not be able to modify it once it has been published.";"Bu testi yayınlamak istediğinizden emin misiniz? Yayınlandıktan sonra değiştiremezsiniz."
"Are you sure you want to remove this option?";"Bu seçeneği kaldırmak istediğinizden emin misiniz?"
"Are you sure you want to remove this question?";"Bu soruyu silmek istediğinizden emin misiniz?"
"Are you sure you want to remove this section?";"Bu bölümü kaldırmak istediğinizden emin misiniz?"
"Are you sure you want to remove this trigger?";"Bu tetikleyiciyi kaldırmak istediğinizden emin misiniz?"
"Cancel";"İptal et"
"Checkbox";"Onay kutusu"
"Choose a question type";"Bir soru tipi seçin"
"Choose a question type:";"Choose a question type:"
"Close";"Kapat"
"Correct answer ?";"Doğru cevap?"
"Create a new question";"Yeni soru oluştur"
"Current quiz";"Mevcut quiz"
"Date/Hour";"Tarih/Saat"
"Delete";"Sil"
"Download CSV";"CSV indir"
"Drop down";"Aşağı aç"
"Edit question %s";"%s sorusunu düzenle"
"Email";"E-posta"
"End quiz";"Quizi tamamla"
"Error";"Hata"
"Finish";"Bitir"
"From";"den"
"Geolocation";"Coğrafik konum"
"Grade name:";"Sınıf adı:"
"Grade summary:";"Sınıf özeti"
"Grades";"Sınıflar"
"Hide question";"Soruyu gizle"
"Hide question:";"Soruyu gizle:"
"Home";"Ana sayfa"
"Image";"Görsel"
"Import from Library";"Kütüphaneden aktar"
"Instructions";"Yönergeler"
"Manage";"Yönet"
"Manage logic triggers";"Mantık tetikleyicilerini yönet"
"Manage logic triggers:";"Mantık tetikleyicilerini yönet"
"Manage model";"Modeli yönet"
"Manage options";"Ayarları yönet"
"Manage options:";"Ayarları yönet:"
"Multiline text";"Çok satırlı metin"
"Name";"İsim"
"Next";"Sonraki"
"No quiz at the moment!";"Şu anda quiz yok!"
"No uploaded image";"Yüklenmiş görsel yok"
"Number";"Numara"
"OK";"Tamam"
"Option";"Seçenek"
"Please enter a name to publish this quiz.";"Bu quizi yayınlamak için lütfen bir isim girin."
"Please enter a thank you message to publish this quiz.";"Bu quizi yayınlamak için lütfen bir teşekkür mesajı girin."
"Please select a value";"Lütfen bir değer seçin"
"Previous";"Önceki"
"Previous quiz(s)";"Önceki quiz(ler)"
"Publish";"Yayınla"
"Publish Quiz";"Quizi Yayınla"
"Publish quiz";"Quizi yayınla"
"Question";"Soru"
"Questions";"Sorular"
"Quiz successfully published";"Quiz başarıyla yayınlandı"
"Radio";"Radyo"
"Results";"Sonuçlar"
"Results of published quiz will appear here.";"Yayınlanmış quiz sonuçları burada görünür."
"Results screen";"Sonuç ekranı"
"Save";"Kaydet"
"Score range:";"Skor aralığı:"
"Score:";"Skor:"
"Send";"Gönder"
"Settings";"Ayarlar"
"Show correct answers after each question";"Her sorudan sonra doğru cevapları göster"
"Show correct answers for every asked questions";"Her sorulan soru için doğru cevapları göster"
"Show correct answers percentage";"Doğru cevap yüzdesini göster"
"Show grade corresponding to score";"Skora karşılık gelen notu göster"
"Show score";"Skoru göster"
"Skip to question";"Soruyu geç"
"Skip to question:";"Soruya geç:"
"Text";"Metin"
"Text:";"Metin:"
"Thank you message";"Teşekkürler mesajı"
"This is a preview of your quiz, it shows current sections and questions set in the editor.";"Bu, quizinizin bir önizlemesidir, mevcut bölümleri ve editörde ayarlanmış soruları gösterir."
"This is the last question. There is no questions you can skip to or hide.";"Bu son soru. Atlayabileceğiniz veya saklayabileceğiniz bir soru yok."
"This name has already been used for a published quiz.";"Bu isim daha önce yayınlanan bir quiz için kullanıldı."
"This name will not be visible to users, it will be shown in the results view.";"Bu isim kullanıcılar tarafından görülmeyecek, sonuçlarda gösterilecektir."
"This question is required";"Bu soru gerekli"
"Time";"Zaman"
"Time limit:";"Zaman sınırı:"
"Total answers";"Toplam cevap"
"Unrecognized image format";"Tanınmayan görüntü formatı"
"Use 0 seconds for unlimited time";"Sınırsız süre için 0 saniye kullan"
"View results";"Sonuçları Görüntüle"
"When answer is";"Cevap olduğunda"
"When answer is:";"Cevap olduğunda:"
"You have to choose a question type.";"Bir soru tipi seçmelisiniz."
"You must define options for your question";"Sorunuz için seçenekleri tanımlamanız gerekir"
"Your score:";"Skorunuz:"
"Your users will see this message at the bottom of the result page once their quiz answers sent.";"Kullanıcılarınız, quiz yanıtları gönderildikten sonra bu mesajı sonuç sayfasının en altında göreceklerdir."
"Your users will see this message once their quiz answers sent.";"Kullanıcılarınız quiz yanıtlarını gönderdikten sonra bu mesajı görecekler."
"answer(s)";"Cevap(lar)"
"en";"ing"
"optional";"opsiyonel"
"percent correct";"doğru yüzdesi"
"points";"puanlar"
"to";"e"
