"'AD'";"'REKLAM'"
"'Ads'";"'Reklamlar'"
"'An error occurred while saving your picture. Please try againg later.'";"'Resminiz kaydedilirken bir hata oluştu. Lütfen daha sonra tekrar deneyin.'"
"'Android'";"'Android'"
"'App Version'";"'Uygulama Versiyonu'"
"'BUTTON'";"'Buton'"
"'Background'";"'Arka plan'"
"'Border'";"'Kenar'"
"'Both'";"Her ikisi de"
"'Day of the week'";"Haftanın günü'"
"'Delete'";"'Sil'"
"'Edit'";"'Düzenle'"
"'Hiding the close button will force users to update their App'";"Kapat düğmesini gizlemek, kullanıcıları uygulamalarını güncellemeye zorlar"
"'IOS'";"'iOS'"
"'Information successfully saved'";"'Bilgi başarıyla kaydedildi.'"
"'Manage ads'";"'Reklamları yönet'"
"'Please fill name field.'";"'Lütfen isim alanını doldurun.'"
"'Settings'";"'Ayarlar'"
"'Status'";"'Durum'"
"'Text'";"'Metin'"
"'There was an error updating form.'";"'Form güncellenirken bir hata oluştu.'"
"'There was an error updating settings.'";"'Ayarlar güncellenirken bir hata oluştu.'"
"'Time of the day'";"'Günün saati'"
"Ad image";"Reklam görseli"
"Ad text";"Reklam metni"
"Ads successfully deleted.";"Reklam başarıyla kaydedildi."
"Button Label";"Buton etiketi"
"Close";"'Kapat'"
"Device";"Cihaz"
"End date";"Bitiş tarihi"
"Friday";"Cuma"
"Hide Close Button";"Kapat butonunu gizle"
"Monday";"Pazartesi"
"Name";"İsim"
"Saturday";"Cumartesi"
"Start date";"Başlangıç tarihi"
"Success.";"Başarılı."
"Sunday";"Pazar"
"Targeting options";"Hedefleme seçenekleri"
"Thursday";"Perşembe"
"Tuesday";"Salı"
"URL";"URL"
"Wednesday";"Çarşamba"
