"An error occurred while saving.";"Kaydedilirken bir hata oluştu."
"An error occurred while saving. Please try again later.";"Kaydedilirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"Could not authenticate you.";"Kimlik doğrulanamadı"
"Enter your twitter handle/url";"Twitter adınızı (@ ile) veya url'ini girin"
"Handle";"Kullanıcı adınız (@ile)"
"Info successfully saved";"Bilgi başarıyla kaydedildi."
"Sorry, that page does not exist.";"Üzgünüz, böyle bir sayfa yok."
"Twitter API secret";"Twitter API parolası"
"Twitter API settings";"Twitter API ayarları"
"Twitter API token";"Twitter API token'ı"
"Twitter consumer key";"Twitter tüketici anahtarı"
"Twitter consumer secret";"Twitter tüketici parolası"
"Verify";"Doğrula"
"followers";"Takipçiler"
"following";"Takip edilenler"
"was verified with success";"Başarıyla doğrulandı."
