"#bookmarked";"#yerimieklendi"
"%s is interested by your ad %s";"%s reklamınız %s ile ilgileniyor"
"Ad has been saved successfully";"Reklam başarıyla kaydedildi"
"Add a category";"Kategori Ekle "
"Add a section";"Bölüm ekle"
"Address";"Adres"
"Address is not inside authorized area";"Adres yetkili alan içerisinde değil"
"Address latitude and longitude are missing";"Adres enlemi ve boylamı eksik"
"Ads expiration";"Reklam geçerliliği"
"All categories";"Tüm kategoriler"
"All fields are mandatory, photos are optional";"Tüm alanlar zorunludur, fotoğraflar isteğe bağlıdır"
"An error occured";"Bir hata oluştu"
"An error occured.";"Hata oluştu."
"An unexpected error prevent this ad to be saved!";"Bilinmeyen bir hata kaydetmeyi engelliyor."
"An unkown error occured";"Bilinmeyen bir hata oluştu"
"Are you sure ?";"Emin misiniz?"
"Are you sure you want to change the status of this ad?";"Bu reklamın durumunu değiştirmek istediğinizden emin misiniz?"
"Are you sure you want to delete this category and all ads using it";"Bu kategoriyi ve onu kullanan tüm reklamları silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this section, all of its subcategories and all ads using them";"Bu bölümü, tüm alt kategorilerini ve bunları kullanan tüm reklamları silmek istediğinizden emin misiniz?"
"Bookmark ad";"Yer imi ad"
"Cancel";"İptal"
"Cancel ad";"Reklam iptal et"
"Cancelled";"İptal edildi"
"Categories";"Kategoriler"
"Category";"Kategori"
"Category not found";"Kategori bulunamadı"
"Category:";"Kategori:"
"Change status";"Durumu değiştir"
"City";"Şehir"
"Close";"Kapat"
"Contact";"İletişim"
"Could not check country limitation";"Ülke sınırlaması kontrol edilemedi"
"Could not find ad";"Reklam bulunamadı"
"Could not find category";"Kategori bulunamadı"
"Could not find customer";"Müşteri bulunamadı."
"Could not find or create shop";"Bir mağaza oluşturulamadı veya yaratılamadı"
"Could not find requested ad";"Talep edilen reklam bulunamadı"
"Could not find seller";"Satıcı bulunamadı"
"Could not find shop";"Mağaza bulunamadı"
"Could not find your current location";"Lokasyonunuz  bulunamadı"
"Country";"Ülke"
"Country is not authorized";"Ülke doğrulanmadı"
"Date";"Tarih"
"Default View";"Default izleme"
"Description";"Tanım"
"Description is mandatory and should be at least 15 characters long";"Description is mandatory and should be at least 15 characters long"
"Drag Me";"Beni sürükle"
"Edit ad";"Reklamı düzenle"
"Email";"E-posta"
"Email is mandatory";"E-posta zorunlu"
"Email should be valid";"E-posta geçerli olmlaı"
"Email:";"E-posta"
"Error";"Hata"
"Expired";"Yok edildi"
"Flag as inappropriate";"Uygunsuz olarak işaretle"
