"A new comment to your message %s";"Новый комментарий к вашему сообщению %s"
"Add sections";"Добавить разделы"
"Address";"Адрес"
"Admin";"Админ"
"Admin who answered";"Админ, кто ответил"
"Application name";"Имя приложения"
"Are you sure to delete this comment?";"Вы уверены, что хотите удалить этот комментарий?"
"Are you sure to delete this message?";"Вы уверены, что хотите удалить это сообщение?"
"Attachment";"Вложение"
"Button";"Кнопка"
"Card";"Карта"
"Closed by Admin";"Закрыто Админом"
"Compact, card";"Компактный, карта"
"Compact, list";"Компактный, список"
"Connect me!";"Подключиться"
"Cover";"Обложка"
"Customer";"клиент"
"Date";"Дата"
"Delete message";"Удалить сообщение."
"Deleted by user.";"Удалено пользователем."
"Disable answer e-mails";"Отключить ""ответить"" по электронной почте"
"Display answers from";"Отображать ответы"
"Display type";"Тип дисплея"
"E-mail";"Email"
"From";"От"
"Global recipient & Admin who created the message";"Пользователи и администраторы, создавшего сообщение"
"Global recipient e-mail";"Пользователи email"
"ID";"Идентификатор"
"Image";"Изображения"
"Inbox";"Почта"
"Inbox - Replies";"Входящие - ответы"
"Inbox replies";"Ответы в почте"
"Leave a reply";"Оставить ответ"
"List";"Список"
"Manage messages";"Управление сообщениями"
"Message";"Сообщение"
"Most recent response";"Самый последний ответ"
"New Inbox Message";"Новое сообщение"
"New message limit";"Новый лимит Сообщений"
"No messages for now.";"Нет пока сообщений"
"No replies.";"Нет ответов."
"Only to Admin";"Только Админ"
"Only to global recipient";"Только пользователи"
"Options";"Варианты"
"Please fill at least a title.";"Пожалуйста заполните название"
"Please select at least one user.";"Пожалуйста, выберите хотя бы одного пользователя."
"Registration date";"Дата регистрации"
"Remove";"Удалить"
"Reply";"Ответ"
"Scheduled for %s";"Запланированные на %s"
"Search ...";"Поиск ..."
"Send a push notification";"Отправка push-уведомлений"
"Send a push notification to inform users";"Отправка push-уведомления для информирования пользователей"
"Send a push notification to warn user";"Предупредить о сообщении через Push"
"Send answer e-mail to";"Отправить ответ по электронной почте"
"Send message";"Отправить сообщение"
"Send my message at this date (leave empty for instant sending):";"Отправить мое сообщение на такую-то дату (оставьте пустым для мгновенной отправки):"
"Send to all";"Отправить всем"
"Slider";"Слайдер"
"Text";"Текст"
"Video";"Видео"
"You have a new Inbox message.";"У Вас новое входящее сообщение."
"You have to be connected to use the Inbox. Please connect to your account by clicking on the button below.";"Вы должны быть авторизованы, чтобы посмотреть почту. Пожалуйста, войдите в свою учетную запись, нажав на кнопку ниже."
"Your message has been successfully saved";"Ваше сообщение было успешно сохранено"
"new";"новый"
"new reply";"новый ответ"
