"Action";"Eylem"
"Activate VAT number check with VIES";"KDV numarası kontrolünü VIES ile kontrol et"
"Add a custom text to the footer of your invoices";"Faturalarınızın altbilgisine özel bir metin ekleyin"
"App Name";"App Adı"
"Client";"Müşteri"
"Date";"Tarih"
"Invoice";"Fatura"
"Invoice %s";"Fatura %s"
"Invoice N°";"Fatura N°"
"Invoice options";"Fatura seçenekleri"
"List of your invoices";"Faturalarınızın listesi"
"My Invoices";"Faturalarım"
"Offline plans";"Çevrimdışı planlar"
"Order";"Sipariş"
"Orders";"Siparişler"
"Paid At";"te ödendi"
"Paid at:";"te ödendi:"
"Payment Method";"Ödeme Yöntemi"
"Price Excl. Tax";"Vergi hariç fiyat"
"Qty";"miktar"
"Sales configuration";"Satış yapılandırması"
"This feature is not ready yet. Please try again later.";"Bu özellik henüz hazır değil. Daha sonra tekrar deneyiniz."
"This message will be displayed as a waiting message when your users chose an offline payment method";"Bu mesaj kullanıcılarınız bir çevrimdışı ödeme yöntemi seçtiğinde bekleme mesajı olarak gösterilecek"
"This message will be displayed as an information message to describe which offline payment method you offer";"Bu mesaj, sunduğunuz çevrimdışı ödeme yöntemini tanımlamak için bir bilgi mesajı olarak görüntülenir."
"Total Excl. Tax";"Vergiler hariç toplam tutar"
"VAT check options";"KDV kontrol seçenekleri"
"You don't have any invoices yet";"Henüz faturanız yok"
