"%s by %s";"%s ile %s"
"+ Add a track";"+ Bir şarkı ekle"
"Add albums and tracks to the playlist:";"Çalma listesine albüm ve parçaları ekleyin:"
"Album";"Albüm"
"Albums";"Albümler"
"Albums:";"Albümler:"
"An error occurred while deleting you images gallery. Please try again later.";"Resim galeriniz silinirken bir hata oluştu daha sonra deneyiniz."
"An error occurred while deleting your album. Thanks for trying later.";"Albümünüzü silinirken bir hata oluştu. Daha sonra yeniden deneyin."
"An error occurred while deleting your playlist. Thanks for trying later.";"Çalma listenizi silinirken bir hata oluştu. Daha sonra deneyiniz."
"An error occurred while deleting your track. Thanks for trying later.";"Şarkınız silinirken bir hata oluştu daha sonra yeniden deneyiniz."
"An error occurred while loading pictures. Please try later.";"Resminiz yüklenirken bir hata oluştu dah sonra yeniden deneyiniz."
"An error occurred while loading the media.";"Medya yüklenirken bir hata oluştu."
"An error occurred while loading the radio.";"Radyo yüklenirken bir hata oluştu."
"An error occurred while loading videos. Please try later.";"Video yüklenirken bir hata oluştu. Lütfen daha sonra deneyin."
"An error occurred while retrieving your page. Please check your page id.";"Sayfa alırken bir hata oluştu. Lütfen sayfa kimliğinizi kontrol edin."
"An error occurred while saving your images gallery. Please try again later.";"Görüntüler galerisi kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your playlist. Thanks for trying later.";"Çalma listenizi kaydedilirken bir hata oluştu. Daha sonra yeniden deneyin."
"An error occurred while saving your videos gallery. Please try again later.";"Videolarınızın galerisi kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"Are you sure you don't want to create an album for these tracks?";"Bu parçalar için bir albüm oluşturmak istemediğinizden emin misin?"
"Are you sure you don't want to create an album for this track?";"Bu parca için bir albüm oluşturmak istemediğinizden eminmisiniz?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Bu albümü (bu şarkıları silmez) silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this album?";"Bu albümü silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this playlist?";"Bu oynatma listesini silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this track?";"Bu parçayı silmek istediğinizden emin misiniz?"
"Artist";"Sanatçı"
"Artist:";"Sanatçı:"
"Audio";"Audio"
"Channel";"Kanal"
"Choose an album";"Bir albüm seç"
"Custom";"Müşteri"
"Delete this gallery?";"Bu galeri silinsin mi?"
"Facebook page ID";"Facebook sayfa kimliği"
"Feed URL";"Besleme URL'si"
"Feed URL <span class=""required-entry"">*</span> :";"Besleme URL <span class=""required-entry"">*</span> :"
"Flickr";"Flickr"
"Flickr API settings can't be found.";"Flickr API ayarları bulunabilir."
"Flickr user";"Flickr kullanıcısı"
"Gallery Name";"Galeri İsmi"
"Gallery Name <span class=""required-entry"">*</span> :";"Galeri İsmi <span class=""required-entry"">*</span> :"
"Group";"Grup"
"I'm listening to";"Dinliyorum"
"I'm listening to $1 from $2 on $3 app.";"1 $3 $2 $uygulamasından dinliyorum."
"I'm listening to $1 on $2 app.";"$1 i $2 uygulamasında dinliyorum."
"If set, will appear instead of the Facebook page Id in app.";"Eğer ayarlanırsa, bunun yerine app Facebook sayfa Kimliği görünecektir."
"Images gallery has been saved successfully";"Görüntüler galerisi başarıyla kaydedildi"
"Instagram";"Instagram"
"Instagram API settings can't be found.";"İnstagram API ayarları bulunabilir."
"Last update:";"Son güncelleme:"
"Login";"Giriş"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Maksimum büyüklük : 2000*2000 px – İzin verilen dosya türleri : jpg and png"
"My images";"Benim resimler "
"My pictures";"Resimlerim"
"No album found";"Albüm bulunamadı"
"No artist found";"Şarkıcı bulunamadı"
"No current stream to play so far.";"Şimdiye kadar hiçbir akım akışı oynatmak için."
"No track found";"Şarkı bulunamadı"
"No valid Facebook API key and secret.";"Geçerli Facebook API anahtarı ve parolası yok."
"PLAYER";"ÇALAR"
"Page ID";"Sayfa kimliği"
"Page not found";"Sayfa bulunamadı "
"Parameter";"Parametre"
"Parameter/Feed Url";"Parametre/besleme URL"
"Picasa";"Picasa"
"Picture%s";"Resim%s"
"Playlist";"Şarkı listesi"
"Playlist successfully saved.";"Şarkı listesi başarıyla kaydedildi."
"Playlist title:";"Şarkı listesi başlığı:"
"Playlists";"Şarkı listesi"
"Please specify the page ID";"Lütfen sayfa kimliğini belirtin."
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Read all";"Hepsini oku"
"Reload album list?";"Albüm listesi yeniden yüklensin mi?"
"Required field";"Gerekli alan"
"Search/Url";"Ara/URL"
"The entered name is not a valid Instagram user.";"Girilen ad geçerli Instagram kullanıcı değil."
"This element is not an album.";"Bu eleman bir albüm değil."
"Track";"şarkı"
"Tracks";"şarkılar"
"Type";"Çeşit"
"URL (.mp3):";"URL (.mp3):"
"Videos gallery has been saved successfully";"Videolar galerisi başarıyla kaydedildi"
"Vimeo";"Vimeo"
"buy";"satınal"
"by";"tarafından"
"close";"kapat"
"empty";"boş"
"from";"den"
"hide";"gizle"
"loop";"loop"
"music";"müzik"
"next";"sonraki"
"on";"üstünde"
"pause";"durdur"
"play";"çal"
"previous";"önceki"
"share";"paylaş"
"shuffle";"karıştır"
"track";"şarkı"
"tracks";"şarkılar"
