"'Or go to your store<br />and look for ""Apps Company Previewer""'";"'Или идите в store<br />и смотрите ""AppGlobus Previewer""'"
"A 1024x1024px max icon which will be the icon of your app on the user device after installation.";"Значок 1024x1024px Max, который будет значок приложения на устройстве пользователя после установки."
"Action";"Активировать"
"All fields are mandatory.";"Все поля обязательны для заполнения."
"An error occurred during the process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, повторите попытку позже."
"Android Version";"Версия Android"
"Apple Store URL:";"Apple Store URL:"
"Application";"Приложение"
"Application Icon Settings";"Настройка иконки приложения"
"Application Name:";"Название приложения?"
"Background color:";"Цвет фона:"
"Bundle ID:";"Идентификатор пакета:"
"Click here to send your image";"Нажмите сюда, чтобы отправить картинку"
"Configuration Settings";"Конфигурация"
"Current image:";"Текущее изображение:"
"Download";"Скачать"
"Download our app previewer";"Загрузить App Previewer"
"Drop your image here";"Перетащите сюда"
"Enable modal button in editor";"Включить модальное окно в редакторе"
"File types:";"Типы файлов:"
"First paragraph:";"Первый абзац"
"Font color:";"Цвет шрифта:"
"In order to display a QRCode linking to your previewer, please fill in stores URL.";"Для того, чтобы отобразить QR-код ссылки на ваш previewer, заполните, пожалуйста, URLы.магазинов"
"In order to download your previewer, please fill in all information and images.";"Для того, чтобы загрузить ваш previewer, пожалуйста, заполните всю информацию и изображения."
"Information Text, first paragraph:";"Информационный текст, первый параграф:"
"Information Text, second paragraph:";"Информационный текст, второй параграф"
"Logo image Settings";"Параметры логотипа"
"Mobile Source Codes";"Исходники"
"Modal";"Модал"
"Modal image:";"Модальное изображение"
"Name";"Название"
"No Store text:";"Текс нет в маркетах:"
"No previewer found for your device";"Не найдено для вашего устройства"
"No store Settings";"Нет в сторах. Настройки"
"OR";"Или"
"Play Store URL:";"Play Store URL:"
"Previewer Modal";"Модальное окно"
"Progress";"Прогресс"
"QRCode Settings";"Опции QRCode"
"Save";"Сохр."
"Scan this QR Code";"Сканируй этот QR Code"
"Second paragraph:";"Второй параграф:"
"Send";"Отправить"
"Size";"Размер"
"Source files not found.";"Исходные файлы не найдены."
"Start-up image 1242x2208:";"Запуск изображения 1242x2208:"
"Start-up image 320x480:";"Запуск изображения 320х480:"
"Start-up image 640x1136:";"Запуск изображения 640x1136:"
"Start-up image 640x960:";"Запуск изображения 640x960:"
"Start-up image 750x1334:";"Запуск изображения 750x1334:"
"Start-up images Settings";"Пуск-настройки изображения"
"Status";"Статус"
"The QR Code is not available at this moment";"QR-код нет в наличии в данный момент"
"The entered bundle id is incorrect, it should be like: com.mycompany.previewer";"bundle id не верный, должно быть типа: com.mysite.previewer"
"When QRCode can't redirect your users (when there are no stores for the user's device, for example), the following text will be displayed on an error page:";"Пока приложение на стадии публикации"
"You can also add an image which will be displayed above the previous text:";"Вы также можете добавить изображение, которое будет отображаться выше предыдущего текста:"
"Your %s image has been successfully saved.";"%s фото сохранено"
"Your image has been successfully saved.";"Фото сохранено."
"iPhone Version";"Версия для iPhone"
