"2checkout";"2checkout"
"2checkout Account Number (SID)";"(SID)2checkout Hesap Numarası "
"2checkout Client ID";"2checkout İstemci KİMLİĞİ"
"2checkout Secret";"2checkout Gizli"
"Access restricted";"Erişim kısıtlı"
"Account";"Hesap"
"Activated";"Aktif"
"Address Mail";"Adres Posta"
"Amount";"Miktar"
"Amount of the sub";"Alt miktarı "
"An error occurred during process. Please try again later.";"Bir hata işlemi sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred during process. Please try again later. (missing POST param)";"Bir hata işlemi sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin. (kayıp SONRASI param)"
"App Name";"Uygulama Adı"
"CVC number :";"CVC numarası :"
"Card Number :";"Kart Numarası :"
"Choose the features to lock:";"Özellikleri kilitlemek için seçin:"
"Conditions";"Koşulları"
"Confirm payment";"Ödeme teyit "
"Congratulation message";"Kutlama mesajı"
"Date of sub";"Alt tarih "
"Enable user to left a message when subscribing ?";"Üye olurken kullanıcı için bir mesaj bıraktı etkinleştirmek ?"
"Expiration Date :";"Son Kullanma Tarihi :"
"FOR MULTIPLE CLOSING OF FUNCTIONS, USE FOLDER MODULE";"FONKSİYONLAR BİRDEN FAZLA KAPANIŞ İÇİN, MODÜL KLASÖRÜ KULLANIN "
"Free amount ?";"Ücretsiz tutar ?"
"General";"Genel"
"Greetings message";"Selamlar mesaj"
"Incomplete form or incorrect data entered. Please check your correctly type each field required";"Form eksik veya yanlış veri girdiniz. Lütfen her alanı doğru türünü kontrol gerekli"
"Incomplete form or incorrect data. Please check you correctly typed each field required.";"Form eksik veya yanlış veri. Lütfen kontrol edin doğru gereken her alan yazdınız."
"Interval between two amount :";"İki miktar arasındaki aralığı :"
"Lastname Firstname";"Ad Soyad"
"Lock the entire application?";"Tüm uygulama kilidi?"
"Mail address to send notification :";"Posta bildirimi göndermek için adres :"
"Make a sub";"Bir alt yapın "
"Message";"Mesaj"
"Message from subscriber:";"Abone mesaj:"
"Minimum amount required ?";"Minimum miktarda gerekli ?"
"Minimum sub amount :";"Asgari alt tutar :"
"New sub received from %s";"Yeni alt %s alındı "
"No";"HAYIR"
"Page name";"Sayfa adı"
"Payment Gateway :";"Ödeme Ağ Geçidi :"
"Paypal adress mail";"Paypal mail adresi"
"Please add few users to enable this feature.";"Lütfen bu özelliği etkinleştirmek için birkaç kullanıcılar ekleyin."
"Please wait application is loading...";"Lütfen bekleyin uygulama yükleniyor..."
"QRCode";"Aztek"
"Received Subs";"Alınan Subs"
"Remove";"Kaldır"
"Restrict Access";"Erişimi Kısıtlamak "
"Save";"Kaydet"
"Select Customer";"Müşteri Seçin"
"Select Customer:";"Müşteri Seçin:"
"Select Role";"Rol Seç"
"Select Role:";"Rol Seç:"
"Send an email notification when receiving a new sub ?";"Yeni bir alt alırken bir e-posta bildirimi göndermek ?"
"Social Sharing";"Sosyal Paylaşım"
"Stripe";"Şerit"
"Stripe Private Key";"Stripe Özel Anahtar"
"Stripe Publishable Key";"Şerit Yayınlanabilir Anahtar"
"Subscribe";"Abone ol"
"Subscribe now";"Şimdi abone "
"Tracking of received subs is not available with Paypal as payment gateway";"Alınan subs izleme ödeme ağ geçidi olarak Paypal ile kullanılamaz "
"Unknown";"Bilinmeyen"
"Unlock by:";"Kilidini:"
"Use a test payment?";"Test ödemesi kullanın."
"User Email";"Kullanıcı E-Posta"
"Users with Access";"Erişim ile kullanıcılar "
"Yes";"EVET"
"You haven't received any subs yet";"Henüz subs almadım "
"You received a new sub";"Yeni bir alt aldınız "
"You've subscribed :";"Abone olduğunuz :"
"Your message";"Mesaj "
"Your name :";"Adınız :"
"iOS: sub in browser (safari) ?";"(safari) tarayıcısında iOS: alt ?"
