"Actions";"Eylemler"
"An error occurred while deleting your role. Please, try again later.";"Rolünüz silinirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"Code";"Kod"
"Create a new role";"Yeni rol yarat"
"Delete";"Sil"
"Edit";"Düzenle"
"Edit %s role";"%s rolü düzenle"
"Id";"Kimlik"
"Label";"Etiket"
"List of your roles";"Rollerinizin listesi"
"Role";"Rol"
"Search";"Ara"
"This role will be the default one for the whole platform.";"Bu, tüm platform için geçerli olan rol olacak."
"You don't have any role yet";"Henüz hiç rolünüz yok."
"Your role has been successfully deleted";"Rolünüz başarıyla silindi."
"Your role has been successfully saved";"Rolünüz başarıyla kaydedildi."
