"A specific date and time";"Belirli bir tarih ve saat"
"ADD NEW FUNNEL";"YENİ HUNİ EKLE "
"ASAP";"En kısa zamanda"
"Active";"Aktif"
"Add First Push";"İlk İtme Ekleyin "
"Add New Funnel";"Yeni Huni Ekle "
"All the date related to the funnel & push will be deleted. Are you sure?";"Huni & bas ile ilgili tüm tarihten silinir. Emin misin?"
"All the date related to the push will be deleted. Are you sure?";"İtme ile ilgili tüm tarihten silinir. Emin misin?"
"An error occurred during process. Please try again later.";"Bir hata işlemi sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while deleting the funnel. Please try again later.";"Huni silinirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while deleting the push. Please try again later.";"Bas silinirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving. Please try again later.";"Kaydedilirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"Are you sure you want to remove the picture?";"Resmi silmek istediğinizden emin misiniz?"
"As Soon As Possible";"En Kısa Sürede "
"Choose the features to open:";"Açmak için gerekli özellikleri seçin:"
"Cron does not executed successfully.";"Cron başarıyla yürütüldü değil."
"Cron executed successfully.";"Cron başarıyla yürütüldü."
"Custom URL:";"Özel URL:"
"Custom URL?";"Özel URL?"
"Date";"Tarih"
"Days";"Gün"
"Delay";"Gecikme"
"Description";"Açıklama"
"Description cannot be empty.";"Açıklama boş olamaz."
"Description successfully saved.";"Açıklama başarılı bir şekilde kaydedildi."
"Description:";"Açıklama:"
"Disabled";"devre dışı"
"Feature";"Özellik"
"First coupon used";"İlk kupon kullandım"
"First login inside the app";"Uygulama içinde ilk giriş "
"First loyalty point used";"İlk sadakat noktası"
"First order placed";"İlk sipariş"
"Funnel successfully deleted.";"Başarıyla silindi huni."
"Funnel successfully saved.";"Huni başarılı bir şekilde kaydedildi."
"Funnel title cannot be empty.";"Huni adı boş olamaz."
"Help URL cannot be empty.";"Yardım URL boş olamaz."
"Help URL is not valid.";"Yardım URL geçerli değil."
"Help URL updated successfully.";"URL başarıyla güncelleştirilmiş yardım."
"Hours";"Saat"
"How Many?";"Kaç Tane?"
"Info successfully saved.";"Bilgi başarılı bir şekilde kaydedildi."
"Invalid Access.";"Geçersiz Erişim."
"Invalid tokens";"Geçersiz belirteçleri"
"License key cannot be empty.";"Lisans anahtarı boş olamaz."
"License key is invalid.";"Lisans anahtarı geçersiz."
"Message:";"Mesaj:"
"Module is active.";"Modül aktif."
"Module is expired and license is deleted.";"Modül süresi ve lisans silinir."
"NONE";"YOK"
"NOTE: You can add more Push Messages by editing a funnel after it is created.";"NOT: oluşturulduktan sonra bir huni düzenleyerek, güzel Mesajlar ekleyebilirsiniz."
"No";"HAYIR"
"No license found for this module.";"Hiçbir lisans bu modül bulunamadı."
"No token sent.";"Hiç bir hediye gönderdi."
"Open a feature or a custom URL:";"Özellik veya özel bir URL açmak:"
"Push Start:";"Bas Başlat:"
"Push custom URL cannot be empty.";"Bas özel URL boş olamaz."
"Push custom URL not valid.";"Bas özel URL geçerli değil."
"Push how many should be greater than 0.";"Birçok 0'dan büyük olmalıdır nasıl itin."
"Push message cannot be empty.";"Push mesaj boş olamaz."
"Push title cannot be empty.";"İtin adı boş olamaz."
"Save";"Kaydet"
"Start";"Başlat"
"Start After:";"Sonra Başlat:"
"Status";"Durumu"
"Status:";"Durum:"
"Stopped";"Durdu"
"This app sends you periodically interesting information by push messages. This is a special free service. In this page, you can turn on or off this service. The standard push still active, to disable totally the pushes just disable them in your Operative System.";"Bu uygulama push mesajları ile periyodik olarak ilginç bir bilgi gönderir. Bu özel ücretsiz bir hizmettir. Bu sayfada, bu hizmeti açmak veya kapatmak. Standart bas hala aktif, tamamen iter sadece Operasyon Sistemi onları devre dışı devre dışı bırakmak için."
"Title:";"Başlık:"
"Trigger:";"Tetik:"
"Unable to connect to the license server.";"Lisans sunucusuna bağlanamıyor."
"Upload a cover";"Bir kapak yükleme "
"Yes";"EVET"
"You are using default help URL";"URL varsayılan yardım kullanıyorsunuz "
"You are using your custom help URL.";"Özel yardım URL kullanıyorsunuz."
"Your Module Help URL";"Modülü Yardım URL "
"Your Module License Key";"Modül Lisans Anahtarınızı"
"Your license has been expired on %s(READ ONLY ACTIVATED).";"Lisansınızı %(SADECE AKTİF OKUMA s) doldu."
"Your license is active on the domain %s for %d days from %s to %s.";"%S lisansını alan %Aktif %d gün %s."
"minutes";"dakika"
