"(You'll be able to remove this promotion later)";"Bu promosyonu daha sonra kaldırabilirsiniz"
"An error occurred while saving your discount. Please fill in all fields";"İndiriminiz kaydedilirken bir hata oluştu. Tüm alanları doldurunuz"
"Are you sure you want to use this discount?";"Bu indirimi kullanmak istediğinizden emin misiniz?"
"Closed discounts";"Kapalı indirimler"
"Conditions";"Koşullar"
"Create a new Discount";"Yeni indirim yarat"
"Create a new discount";"Yeni bir indirim oluştur"
"Delete this discount?";"Bu indirimi sil?"
"Description";"Tanım"
"Design";"Tasarım"
"Details";"Detaylar"
"Discount";"İndirim"
"Discount successfully deleted";"İndirim başarıyla silindi"
"Discount successfully saved";"İndirim başarıyla kaydedildi"
"Do you want to use this coupon?";"Bu kuponu kullanmak istiyor musunuz?"
"End at";"de bitir"
"Generate QRCode";"QR kod üret"
"Is unique?";"Tek mi?"
"Manage content";"İçeriği yönet"
"No";"Hayır"
"On";"Açık"
"Picture";"Resim"
"Please select an end date greater than the current date.";"Lütfen bugünden daha sonraki bir tarih seçin."
"QR Coupon";"QR Kupon"
"Search ...";"Ara..."
"This discount is now used";"Bu indirim artık kullanılır"
"Thumbnail";"Mini resim"
"Title";"Başlık"
"Unlimited";"Sınırsız"
"Use only once?";"Yalnızca bir kez kullanılsın mı?"
"Valid Until";"Tarihine Kadar Geçerli"
"Valid until";"Tarihine kadar geçerli"
"Yes";"Evet"
"You have already use this code";"Bu kodu daha önce kullandınız."
"You have already use this discount";"Zaten bu indirim kullanda"
"You must be logged in to use a discount";"İndirim kullanmak için giriş yapmalısınız"
"Your QRCode";"QR kodunuz"
"or illimited";"ya da sınırlı"
"or unlimited";"Veya sınırsız"
"use only once";"yalnızca bir kez kullanın"
"you'll be able to remove this promotion later";"Daha sonra bu promosyonu kaldırmak mümkün olacak"
