"Create a new language";"Yeni bir dil oluştur"
"Default text";"Varsayılan metin"
"Edit the language: %s";"Dil düzenleyin:%s"
"Language";"Dil"
"Language successfully saved";"Dil başarıyla kaydedildi"
"List of your languages";"Dillerinizin listesi"
"Please, choose a file.";"Lütfen bir dosya seçin."
"Please, choose a language.";"Lütfen bir dil seçin"
"Select a file";"Bir dosya seçin."
"Select a language";"Bir dil seçin"
"Text translation";"Metin çevirisi"
"Translate all";"Tamamını çevir"
"Translate missing entries";"Eksik girdileri çevir"
"Translate the 'e.g.' between parentheses only.";"'Örn:' sadece parantez arasında."
"Translation API is not available for the current language.";"Mevcut dil için çeviri API'i mevcut değildir."
"Translations";"Çeviriler"
"Warning: translation API is experimental for the current language and may fail.";"Uyarı: çeviri API'si geçerli dil için deneyseldir ve başarısız olabilir."
"Your translation";"Çeviriniz"
