"Actions";"Действия"
"An error occurred while deleting your role. Please, try again later.";"Произошла ошибка при удалении своей роли. Пожалуйста, повторите попытку позже."
"An error occurred while deleting your role. please try again later.";"Произошла ошибка во время удаления своей роли. Пожалуйста, повторите попытку позже."
"Code";"Код"
"Create a new role";"Создать новую роль"
"Delete";"Удалить"
"Edit";"Редактировать"
"Edit %s role";"Редактировать роль для %s"
"Label";"Логотип"
"List of your roles";"Список ролей"
"Role";"Роль"
"Search";"Поиск"
"This role will be the default one for the whole platform.";"Эта роль станет по умолчанию для всей платформы."
"You don't have any role yet";"У Вас нет созданных ролей"
"Your role has been successfully deleted";"Ваша роль была успешно удалена"
"Your role has been successfully saved";"Ваша роль была успешно сохранена"
