"<b>File types:</b> %s<br />";"<b>Dosya türleri:</b> %s<br />"
"Add";"Ekle"
"An error occurred during the process. Please try again later.";"İşlem sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while deleting your preview. Please try again later.";"Önizlemeniz silinirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving your previews. Please try again later.";"Önizleme kaydetme sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"Click here to send your image";"Burada resim göndermek için tıklayın "
"Create a new preview";"Yeni bir önizleme oluştur "
"Delete image";"Görüntüyü sil"
"Delete translation";"Çeviriyi sil"
"Description";"Açıklama"
"Drag and drop images to reorder them.";"Görselleri yeniden düzenlemek için sürükle ve bırak."
"Drop your image here";"Görselleri buraya bırakın"
"Edit the preview";"Önizlemeyi düzenle"
"Existing images :";"Varolan resimler:"
"Feature";"Özellik"
"Language";"Dil"
"List of existing previews";"Mevcut önizlemeleri listesi "
"OR";"YA DA"
"Preview images";"Görüntüleri önizle"
"Preview successfully saved";"Önizleme başarıyla kaydedildi"
"Previews";"Önizlemeler"
"Search";"Arama"
"Sorry, but an existing preview for this feature has been found. Please edit existing one.";"Üzgünüz, bu özellik için mevcut bir önizleme bulundu. Lütfen mevcut olanı düzenleyin."
"Title";"Başlık"
"Unable to copy the file.";"Dosyalar kopyalanamıyor."
"Unable to create the directory.";"Dizin oluşturulamadı."
"Unable to delete the file %s";"%s dosyası silinemiyor."
"Unable to delete the file.";"Dosya silinemiyor."
"You don't have any previews yet";"Henüz önizleme yok"
"Your image has been successfully saved";"Görseliniz başarıyla kaydedildi"
"Your preview has been deleted successfully.";"Önizleme başarıyla silindi."
"Your preview translation has been deleted successfully.";"Çeviri önizlemeniz başarıyla silindi."
