" (you'll be able to remove this card later)";"(ты сможешь удалить ее позже)"
"A player can play again?";"Пользователь сможет сыграть снова?"
"Add";"Добавить"
"All winners on your scratch card have been found";"Все победители на вашей скретч-карте были найдены"
"An error occurred while saving your scratch card. Please try again later.";"Произошла ошибка при сохранение скретч-карты"
"Application: %s, scratchcard: %s";"Приложения: %s картами: %s"
"Card name";"Название карты"
"Create a new Scratch-Card";"Создать новые скретч-карты"
"Current card";"Текущая карта"
"Description";"Описание"
"Editing";"Редактирование"
"Email for notification";"Email для уведомлений"
"Employee's name";"Имя сотрудника"
"Employee's password";"Пароль сотрудника"
"End date:";"Дата окончания:"
"Error while creating your reward. Sorry for the inconvenience.";"Ошибка при создании вознаграждения."
"Error while validating reward.";"Ошибка при активации награды."
"Game configuration";"Конфигурация игры"
"Hello, %s has won on your scratchcard!";"Здравствуйте, %s победил по скретч-карте!"
"Hello, maximum winner limit has been reached on your scratch card.";"Здравствуйте, достигнут максимальный предел победителей по скретч-карте."
"Log in to scratch your card!";"Авторизуйтесь"
"Loser pop-up";"Всплывающее окошко при проигрыше"
"Manage";"Управление"
"Maximum points";"Максимальное количество очков"
"Maximum winner count";"Максимальное число победителей"
"Minimum points";"Минимальные баллы"
"My new scratch card";"Новая скретч-карта"
"My passwords";"Мои пароли"
"My scratchcard is in portrait mode";"Режим ""портрет"" на экране"
"New winner on your scratch card";"Новый победитель по скретч-карте"
"No cards for now.";"Нет пока карт"
"Or unlimited";"Режим безлимит"
"Passwords";"Пароли"
"Picture";"Фото"
"Picture foreground";"Фото для стирания"
"Picture loser";"Фото  при проигрыше"
"Picture winner";"Фото  при победе"
"Previous cards";"Предыдущие карты"
"Reward";"Награда"
"Reward description";"Описание награждения"
"Reward name";"Название награды"
"Reward successfully validated.";"Награда активирована успешно!"
"Scratch Card";"Скретч Карта"
"Scratch Cards";"Скретч-Карты"
"Scratchcard";"Скретч карта"
"Scratchcard points?";"Очки лотереи?"
"Set up your rate in Settings > Advanced section";"Настройте свой тариф в Настройки > дополнительно в разделе"
"Sorry!";"Жаль!"
"Sorry, but all winners for this card have been found.";"Нам жаль, но все победители для этой карты были определены."
"Sorry, but the maximum number of winners for this card has been reached. Come back for the next game!";"Ой. превышена количество победителей на эту карту/ До следующей игры"
"Sorry, wrong password. Please try again.";"Не верный пароль. Попробуй еще раз"
"This card is uniq:";"Эта карта уник:"
"Title";"Титул"
"Win percentage must be greater than zero.";"Процент побед должен быть больше, чем ноль."
"Win percentage:";"Процент побед:"
"Winner count so far";"Победы на данный момент"
"Winner pop-up";"Всплывающее окошко при победе"
"Winning chance percentage (by card)";"Шанс на победу в процентах (по карте)"
"You have already used your daily limit for this card. Come back tomorrow!";"Увы, превышен дневной лимит карты. Ждем Вас завтра!"
"You must be logged in to validate rewards";"Вы должны авторизоваться для активации награды"
"Your scratch card has been deleted successfully.";"Скретч-карта была успешно удалена"
"Your scratch card has been saved successfully.";"Ваша скретч-карта сохранена"
"you'll be able to remove this card later";"вы сможете удалить эту карту позже"
