"Access my personal data";"Erişim kişisel bilgilerim "
"Add a comment";"Bir yorum ekle "
"Add image";"Resim Ekle "
"Add to address book";"Adres defterine Ekle "
"Address";"Adres"
"Albums";"Albümleri"
"An error occurred while loading the media.";"Medya yüklenirken bir hata oluştu."
"An error occurred while loading the radio.";"Radyo yüklenirken bir hata oluştu."
"An error occurred while reading the code.";"Kod okunurken bir hata oluştu."
"An unexpected error occurred while calculating the route.";"Rota hesaplanırken beklenmeyen bir hata oluştu."
"Application is Locked";"Uygulama Kilitli "
"Buffering";"Arabelleği"
"Buy Tickets";"Bilet Satın Al "
"Buy tickets";"Bilet Satın Al "
"CVC ***";"CVC ***"
"Cancel";"İptal"
"Cancel delete";"Sil iptal et "
"Cancel edit";"Düzenlemeyi iptal et "
"Civility";"Nezaket"
"Clear";"Açık"
"Click here to log-in";"Burada günlük İçin Tıklayın"
"Close";"Yakın"
"Comment";"Yorum"
"Copy";"Kopya"
"Create an account";"Bir hesap oluşturun "
"Date and time";"Tarih ve saat"
"Delete";"Sil"
"Delivery address";"Teslimat adresi"
"Description";"Açıklama"
"Discount code";"İndirim kodu"
"Dismiss";"Görevden"
"Done";"Yapılan"
"Downloading...";"İndiriliyor..."
"EXP";"EXP"
"Email";"E-posta"
"Error";"Hata"
"First name / Last name";"İlk Adı / Soyadı"
"Firstname";"Ad"
"Flag";"Bayrak"
"Forgot your password?";"Şifrenizi mi unuttunuz?"
"Hi. I just found: $1 in the $2 app.";"Merhaba. Sadece 2 $app $1 buldum."
"I accept the privacy policy";"Gizlilik Politikası kabul ediyorum "
"I just found this discount $1 in $2 app.";"Sadece 2 $app $1 Bu indirim buldum."
"I'm listening to $1 from $2 on $3 app.";"1 $3 $2 $uygulamasından dinliyorum."
"I'm listening to $1 on $2 app.";"$1 $2 uygulamasında dinliyorum."
"Identity";"Kimlik"
"Info";"Bilgi"
"Informations";"Bilgiler"
"Invoicing address";"Fatura adresi"
"Lastname";"Soyadı"
"Like";"Sever"
"Loading";"Yükleme"
"Locate";"Bulun"
"Location";"Konum"
"Log-in";"Girş"
"Log-in with Facebook";"Facebook ile girş "
"Login error";"Oturum açma hatası"
"Map";"Harita"
"Miss";"Özledim"
"Mr";"Bay"
"Mrs";"Bayan"
"My account";"Hesabım "
"New Post";"Yeni Mesaj"
"Nickname";"Takma ad"
"No comments for now.";"Şimdilik Yorum yok."
"No form available";"Hiçbir biçimde kullanılabilir"
"No images found";"Resim bulunamadı"
"No items found";"Hiçbir ürün bulundu"
"No results for your request.";"İsteğiniz için hiçbir sonuç."
"Notes";"Notlar"
"Notification";"Bildirim"
"Number of people";"Kişi sayısı "
"OK";"TAMAM"
"Offline mode";"Çevrimdışı modu"
"Ok";"Tamam"
"Open link";"Açık link"
"Or with your account";"Ya da hesabınızda "
"Order Details";"Sipariş Ayrıntıları"
"Overview";"Genel bakış"
"Password";"Şifre"
"Phone";"Telefon"
"Photos";"Fotoğraflar"
"Playlists";"Çalma listeleri"
"Please enter a valid email address";"Lütfen geçerli bir e-posta adresini girin "
"Please enter your email address.";"Lütfen e-posta adresinizi girin."
"Please enter your email address. We'll send you your password right now.";"Lütfen e-posta adresinizi girin. Parolanızı hemen göndereceğiz."
"Please wait...";"Lütfen bekleyiniz..."
"Podcast";"Podcast"
"Prices";"Fiyatlar"
"Privacy";"Gizlilik"
"Privacy Policy";"Gizlilik Politikası"
"Pull to refresh...";"Yenilemek için çekin."
"RSVP";"RSVP"
"Read all";"Hepsini oku"
"Scan result";"Tarama sonucu"
"See details";"Ayrıntıları görmek "
"Send";"Gönder"
"Send contact request";"İletişim isteği gönderin "
"Show me in ranking";"Sıralamada göster bana "
"Success";"Başarı"
"Tap to download in background";"Arka planda indirmek için dokunun "
"Terms & Conditions";"Şartlar Ve Koşullar"
"The address you're looking for does not exists.";"Aradığınız adresi mevcut değil."
"The sign in flow was canceled";"Akış oturum açma iptal edildi "
"There is no route available with these informations.";"Bu bilgiler ile kullanılabilir karayolu yok."
"This application is no longer available";"Bu uygulama artık kullanılabilir değil "
"This feature is disabled in this preview";"Bu özellik bu önizleme devre dışı bırakılır "
"This feature is not available in offline mode!";"Bu özellik, çevrimdışı modunda kullanılamaz."
"This field is required";"Bu alan gereklidir "
"This will open the code scan camera on your device.";"Bu cihaz üzerinde kod tarama kamera açılacaktır."
"Title";"Başlık"
"Tracks";"Parça"
"Triple tap to close the preview";"Üçlü önizlemeyi kapatmak için dokunun "
"Use this coupon";"Bu kuponu kullanmak "
"Valid Until";"Kadar Geçerli "
"View";"Görünüm"
"We are sorry but this application has been deactivated and may not be re-activated.";"Üzgünüz, ancak bu uygulama devre dışı bırakıldı ve yeniden olabilir-aktif."
"We'll send you your password right now.";"Parolanızı hemen göndereceğiz."
"Website";"Web sitesi"
"Wrong password.<br />Be careful !<br />%d remaining attempt%s before locking your card.<br />Ask the store person for validating your point";"Yanlış şifre.<br /dikkatli Olun>. <br d kalan girişimi %kartınızı kilitleme önce >%s</.br />noktasını doğrulamak için mağaza Sor "
"XXXX XXXX XXXX";"XXXX XXXX XXXX"
"You must fill at least one field!";"En az bir alanı doldurmanız gerekir."
"Your comment";"Yorum "
"Your location could not be found because your application doesn't use SSL.";"Konumunuzu uygulamanız SSL kullanmıyor çünkü bulunamadı."
"followers";"takipçileri"
"following";"aşağıdaki"
"track";"parça"
"tracks";"Parça"
