"Add a pin";"Добавить PIN-код"
"Add an illustration";"Добавить изображение"
"Apply";"Применить"
"Apply default pin to all existing places.";"Применить иконку по умолчанию ко всем существующим местам."
"Are you sure you want to delete this customer?";"Вы уверены, что хотите удалить этого клиента?"
"Default pin for new places";"Иконка по умолчанию для новых мест"
"Display illustration in page";"Показать изображение на странице"
"Display subtitle in page";"Показать подзаголовок на странице"
"Display title in page";"Показать заголовок на странице"
"Google default pin";"PIN-код Google по умолчанию"
"If the map icon is not uploaded, it will fallback to default Google Maps pin.";"Если значок карты не загружен, он вернется к значку Google Maps по умолчанию."
"Illustration";"Изображение"
"Illustration > Thumbnail";"Изображение> Миниатюра"
"Map icon";"Иконка карты"
"Name, locality, etc...";"Имя, местность, итд..."
"No, go back";"Нет, возвращайся"
"Pin";"PIN"
"Places image priority in list";"Изображения мест приоритетны в списке"
"Registered";"Зарегистрированный"
"The pin value is required";"Требуется значение PIN-код"
"Thumbnail > Illustration";"Миниатюра> Изображение"
"Validate";"Утвердить"
"We are unable to delete this customer!";"Мы не можем удалить этого клиента!"
"Enable vote";"Включить голосование?"
"There is no category!";"Нет категорий"
"Vote";"Голосование"
"Thank you for your vote";"Спасибо за ваш голос"
