"An error occurred while saving your contact informations.";"Iletişim bilgileri kaydedilirken bir hata oluştu."
"An error occurred while sending your request. Please try again later.";"İsteğiniz gönderilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"And his phone number:";"Telefonunu ekleyin:"
"Are you sure you want to remove the picture?";"Bu resmi kaldırmak istediğinizden eminmisiniz?"
"City";"Şehir"
"Contact information";"İletişim bilgisi"
"Here is his email:";"E-posta adresi:"
"Here is his message:";"Mesajı:"
"Please enter properly the following fields: <br />";"Aşağıdaki alanları doldurun: <br />"
"Twitter";"Twitter"
"Website";"Website"
"You have received a message from a contact:";"Bir kişiden bir mesaj aldınız:"
"Your email";"E-posta adresiniz:"
"Your message has been sent";"Mesajınız gönderildi"
"Your request";"İsteğiniz"
"Zip code";"Posta kodu"
