"%s - Your new password";"%s - Ваш новый пароль"
"A request to reset your password has been made to log in to your administration panel.";"Запрос для сброса пароля был сформирован, чтобы войти в вашу Панель администратора"
"Access";"Доступ"
"Account Role";"Роль пользователя"
"Account role";"Роль аккаунта"
"Address 2:";"Адрес 2:"
"Address:";"Адрес:"
"Administrator : full access";"Администратор : полный доступ"
"Administrator: full access";"Администратор - Полный доступ"
"An error occurred while saving. The country is not valid.";"Произошла ошибка при сохранении. Да, не бывает такой страны)))."
"Application";"Приложение"
"Application have been duplicated successfully.";"Приложение успешно дублировано."
"Are you sure you want to delete this application?";"Вы уверены, что хотите удалить это приложение?"
"Are you sure you want to duplicate this application?";"Вы уверены, что хотите дублировать это приложение?"
"Can add pages";"Может добавлять страницы"
"Can generate APK";"Может генерировать APK"
"Can manage guided tour";"Можете управлять экскурсией"
"Change my password";"Изменить мой пароль"
"Company:";"Компания:"
"Confirm your password";"Подтвердите ваш пароль"
"Connect to your backoffice to validate this account.";"Подключиться к личному кабинету, чтобы проверить эту учетную запись."
"Create a new application";"Создать новое приложение"
"Create a new user";"Создать нового пользователя"
"Created At";"Создан с"
"Created at %s";"Создано с %s"
"Do not hesitate to give us your feedback by sharing your needs:";"Не стесняйтесь оставлять свои отзывы и следите за новостями: https://vk.com/nwicod"
"Edit the account \"%s\"";"Редактировать аккаунт \"%s\""
"Edit the account %s";"Редактирование учетной записи %s"
"Edit the user %s";"Редактировать пользователя %s"
"Enjoy!";"До свидания и всего хорошего!!!"
"Filter your apps...";"Фильтр приложений..."
"Find some advices here:";"Найти несколько советов здесь: https://nwicode.com/"
"From";"от"
"Hello, a new user has registered on your platform : %s.";"Зарегистрировался новый пользователь : %s."
"Here are your credentials, keep them preciously:";"Вот ваши учетные данные, храните их бережно:"
"List of admin accounts";"Список админ-аккаунтов"
"List of my accounts";"Список моих аккаунтов"
"List of your users";"Список пользователей"
"Log-in As";"Вошел как"
"Login to your admin interface";"Вход в личный кабинет"
"Manage access";"Дать доступ"
"My Applications";"Мои приложения"
"My information";"Моя информация"
"Need some help?";"Нужна помощь?"
"New user registration on your platform";"Новый пользователь"
"No account for now.";"Нет аккаунта"
"Please enter a valid email address.";"Пожалуйста, введите действительный адрес электронной почты."
"Please, enter an application name";"Пожалуйста, введите название приложения."
"Publication access type";"Тип издания доступ"
"Ready to create your own apps?";"Готовы для создания собственных приложений?"
"Role";"Роль"
"Show All Applications";"Показать Все Приложения"
"Sign up";"Зарегистрироваться"
"Sorry but an error occured while duplicating your application.";"Извините, но произошла ошибка при дублировании приложения."
"State/Province";"Штат/Республика"
"Thanks for choosing us!";"Спасибо, что Вы выбрали нас!"
"The Support Team";"Служба поддержки"
"The account role is required";"Установить роль аккаунта"
"The password and the confirmation does not match.";"Пароли не совпадают."
"The password must be at least 6 characters.";"Пароль должен быть не менее 6 символов"
"This account is not activated yet. Please contact an administrator.";"Эта учетная запись еще не активирована. Пожалуйста, свяжитесь с администратором."
"This admin can manage guided tour from editor";"Этот администратор может управлять экскурсией"
"This user has no applications yet.";"Этот пользователь не имеет приложений."
"User successfully deleted";"Пользователь успешно удален"
"View my current data";"Смотреть мои текущие данные"
"We are sorry but this email address is already used.";"Извините, но этот адрес уже используется."
"Welcome!";"Поздравляем!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Мы уверены, что Вам понравится! Теперь вы с легкостью создадите свое первое и великолепное приложение, всего за несколько минут. Вас удивит большое количество инструментов для реализации огромных возможностей будущего приложения."
"You can't delete the main account";"Вы не можете удалить основной аккаунт"
"You don't have any users yet";"У вас пока нет пользователей"
"Your account have been created successfully. It will be activated soon.";"Ваш аккаунт успешно создан. Он будет активирован в ближайшее время."
"Your credentials";"Ваши учетные данные"
"Your login:";"Ваш логин"
"Your password:";"Ваш пароль"
"Zip Code";"Индекс"
"Zip Code:";"Индекс:"
"to";"для"
"Your request has been successfully sent";"Ваш запрос был успешно отправлен"
"It is necessary to increase the maximum size of the application.";"Необходимо увеличить максимальный размер приложения."
"Unlock features";"Разблокировать функции"
"To unlock the function, you must change the tariff.";"Чтобы разблокировать функцию, необходимо изменить тариф."
"Soon";"Скоро"
"Left: %d years, %d months, %d days";"Осталось: %dл., %dм., %dд."
"Today";"Сегодня"
"Yesterday";"Вчера"
"Week";"Неделя"
"Month";"Месяц"
"Refresh data";"Обновить данные"
"Applications";"Приложения"
"Application analytics";"Аналитика приложения"
"Total installations";"Всего установок"
"Total reinstallations";"Всего повторных установок"
"All data";"Все данные"
"Locked";"Заблокированно"
"All data";"Все данные"
"Locked";"Заблокированно"
"Select application:";"Выберите приложение"
"Select application and period of analytic";"Аналитика по приложениям и временным интервалам"
"Choose period:";"Укажите период"
"Installations";"Установки"
"Countries";"Страны"
"New installations";"Новые установки"
"Re-Installations";"Повторные установки"
"Summary info";"Суммарные данные"
"Graphic data";"Графики"
"Table data";"Табличное представление"
"More detailed statistics are available in the personal account of Yandex.Metrica service.";"Более детальная статистика доступна в личном кабинете сервиса Яндекс.Метрики."
"Make for me";"Сделать за меня"
