"Add a region";"Добавить регион"
"List of your taxes";"Список ваших налогов"
"National";"Национальный"
"Please select a country";"Пожалуйста, выберите страну"
"Please, enter a tax rate.";"Пожалуйста, введите налоговую ставку."
"Please, enter a valid tax rate.";"Пожалуйста, введите действительный налоговую ставку."
"Rate";"Ставка"
"Region";"Регион"
"Remove";"Удалить"
"Select a region";"Выбрать регион"
"Tax name";"Название налога"
"Total Tax";"Общий налог"
"You don't have created any taxes yet";"Вы не создали ещё никаких налогов "
