"1 Block";"1 Blok"
"2 Blocks";"2 Blok"
"3 Blocks";"3 Blok"
"Adam Smith";"Adam Smith"
"Add Custom Domain to Your Site";"Sitenize özel domain ekleyin."
"Alignment";"Hiza"
"App description text goes here.We can write important points about your app here.";"Uygulama açıklama metni burada. Uygulaman hakkında önemli noktaları buraya yazabiliriz."
"Attachment";"Ek"
"Background";"Arka plan"
"Badges";"Rozetler"
"Blur";"Bulanıklaştır"
"Border Radius";"Kenar yarıçapı"
"Bottom";"Alt"
"Box Shadow";"Kutu gölgesi"
"CEO";"CEO"
"Center";"Ortala"
"Color";"Renklendir"
"Custom Domain";"Özel domain"
"Dimension";"Boyut"
"Duration";"Süre"
"Easing";"Genişletme"
"Extra";"Ekstra"
"Favicon URL";"Favicon URL"
"Font";"Üst"
"Font Size";"Font büyüklüğü"
"Font color";"Font rengi"
"General";"Genel"
"Height";"Yükseklik"
"Hero section";"Büyük web banner görsel alanı"
"Image";"Görsel"
"Important features and description of each feature can be described here";"Her bir önemli özellik ve özelliklerin açıklaması burada açıklanabilir"
"Jessica White";"Jessica White"
"John Black";"John Black"
"Justify";"Yanaştır"
"Learn More";"Daha fazla öğren"
"Learn more block here";"Daha fazla bilgi edin"
"Left";"Sol"
"Letter Spacing";"Harf Boşluğu"
"Line Height";"Satır Yüksekliği"
"Line-through";"Üstünü çiz"
"Link";"Link"
"Link Block";"Link bloğu"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore";"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore"
"Map";"Harita"
"Margin";"Kenar boşluğu"
"Max Width";"Maksimum genişlik"
"Min Height";"Minimum yükseklik"
"My App Headline goes here";"Uygulama başlığım burada"
"None";"Hiçbiri"
"Open Website";"Websitesi aç"
"Padding";"Dolgu"
"Perspective";"Derinlik"
"Please create a CNAME of your domain pointing to";"Lütfen alan adınızı gösteren bir CNAME oluşturun."
"Position";"Yerleştir"
"Property";"Özellik"
"Quote";"Alıntı"
"Repeat";"Tekrarla"
"Right";"Sağ"
"Rotate X";"X'i döndür"
"Rotate Y";"Y'yi döndür"
"Rotate Z";"Z'yi döndür"
"SEO";"SEO"
"SEO Meta data Settings";"SEO Meta veri ayarları"
"Scale X";"X'i ölçeklendir"
"Scale Y";"Y'yi döndür"
"Scale Z";"Z'yi ölçeklendir"
"Select an element before using Style Manager";"Style Manager'ı kullanmadan önce bir element seçin"
"Shadow type";"Gölge türü"
"Size";"Boyut"
"Software Engineer";"Yazılım Mühendisi"
"Spread";"Yay"
"Subtitle five";"Alt başlık beş"
"Subtitle four";"Alt başlık dört"
"Subtitle one";"Alt başlık bir"
"Subtitle six";"Alt başlık altı"
"Subtitle three";"Alt başlık üç"
"Subtitle two";"Alt başlık iki"
"Text";"Metin"
"Text Align";"Metni Hizala"
"Text Decoration";"Metin Dekorasyonu"
"Text Shadow";"Metin Gölgesi"
"Text section";"Text bölümü"
"The team";"Takım"
"Title five";"Başlık beş"
"Title four";"Başlık dört"
"Title one";"Başlık bir"
"Title six";"Başlık altı"
"Title three";"Başlık üç"
"Title two";"Başlık iki"
"Top";"Üst"
"Transform";"Dönüştür"
"Transition";"Geçiş"
"Typography";"Tipografi"
"Video";"Video"
"Web Designer";"Web tasarımcısı"
"Weight";"Dolgunluk"
"Width";"Genişlik"
"X position";"X pozisyonu"
"Y position";"Y pozisyonu"
"Your CNAME is not valid.";"CNAME'niz geçerli değil."
"are you sure ?";"Emin misiniz?"
"underline";"Altını çiz"
