"Add To Cart";"Sepete Ekle "
"Address (1):";"(1) Adres:"
"Address (2):";"(2) Adres:"
"All products";"Tüm ürünler"
"An error occurred while making your payment. Please try again later.";"Ödeme yaparken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while trying to set up Paypal transaction. Please contact an administrator.";"Paypal işlem ayarlamaya çalışırken bir hata oluştu. Yönetici ile iletişim kurun."
"Api endpoint";"Apı uç noktası"
"Are you sure to remove this line from cart?";"Arabasından bu satırı kaldırmak istiyor musunuz?"
"Billing Address";"Fatura Adresi"
"CVC";"CVC"
"Cart";"Arabası"
"Cart total";"Sepeti toplam"
"Categories";"Kategori"
"City:";"Şehir:"
"Code";"Kod"
"Company:";"Şirket:"
"Configuration error. Please contact an administrator.";"Yapılandırma hatası. Yönetici ile iletişim kurun."
"Consumer key";"Tüketici anahtarı"
"Country:";"Ülke:"
"Create Customer";"Müşteri Oluşturmak "
"Credit Card payment";"Kredi kartı ile ödeme"
"Customer error";"Müşteri hatası"
"Email*:";"E-posta*:"
"Email:";"E-posta:"
"Error during order creation";"Sipariş oluşturma sırasında hata "
"Error during registration";"Kayıt sırasında hata "
"Error while getting products";"Hata yaparken yakalanma ürünleri"
"Error while loading shop configuration.";"Dükkan yapılandırma yüklenirken hata oluştu."
"Exp Month";"Ay Exp "
"Exp Year";"Exp Yıl"
"First Name*:";"İlk İsim*:"
"First Name:";"İlk İsim:"
"Grouped product details";"Gruplanmış ürün detayları"
"Header";"Başlık"
"Hey";"Hey"
"Import a header";"Bir başlık al "
"In order to proceed, please fill your Woocommerce customer email below:";"Devam etmek için, lütfen aşağıda Woocommerce müşteri e-posta doldurun:"
"Invalid Quantity";"Geçersiz Miktar"
"Last Name*:";"Soyadı*:"
"Last Name:";"Soyadı:"
"Loading";"Yükleme"
"New Customer";"Yeni Müşteri"
"New user";"Yeni kullanıcı"
"No categories for now";"Şimdilik hayır kategori "
"No products for now.";"Şu an için herhangi bir ürün."
"OK";"Tamam"
"Oops!";"Oops!"
"Order cancelled";"Sipariş iptal edildi"
"Our online shop";"Online alışveriş "
"Out of stock";"Stokta "
"Password*:";"Şifre*:"
"Pay by Credit Card";"Ödeme Kredi kartıyla"
"Pay by Paypal";"Ödeme Paypal"
"Pay on our online store";"Online mağaza ödeme "
"Payment result";"Ödeme sonuç"
"Paypal Settings";"Paypal ayarları"
"Paypal password";"Paypal şifre"
"Paypal signature";"Paypal imza"
"Paypal username";"Paypal kullanıcı adı"
"Personal Information*";"Kişisel Bilgiler*"
"Phone:";"Telefon:"
"Please enter a Password.";"Bir Parola girin lütfen."
"Please enter a Username.";"Bir Kullanıcı adı girin lütfen."
"Please enter a credit card number";"Lütfen kredi kartı numaranızı girin "
"Please enter an Email.";"Bir e-Posta girin lütfen."
"Please enter the credit card expiration month";"Lütfen kredi kartı son kullanma ay girin "
"Please enter the credit card expiration year";"Lütfen kredi kartı son kullanma tarihi girin "
"Please enter your First Name.";"Lütfen Adınızı yazın."
"Please enter your Last Name.";"Lütfen soyadınızı girin."
"Please fill in your information in order to pay by credit card";"Ödeme için kredi kartı bilgilerinizi doldurunuz "
"Postcode:";"Posta kodu:"
"Proceed";"Devam edin"
"Product successfully added to your Cart.";"Ürün başarıyla Sepete eklendi."
"Products";"Ürünleri"
"Quantity:";"Miktar:"
"Registration successful";"Kayıt başarılı"
"Remove product";"Ürünü Kaldır "
"Same as billing address";"Fatura adresi ile aynı "
"See you soon on our store!";"Yakında Mağazamız görüşürüz!"
"Shipping Address";"Nakliye Adres"
"Social Profiles";"Sosyal Profiller"
"Sorry, product not found.";"Üzgünüm, ürün bulunamadı."
"State:";"Durum:"
"Stock Quantity:";"Stok Miktarı:"
"Stripe Publishable Key";"Şerit Yayınlanabilir Anahtar"
"Stripe Secret Key";"Şerit Gizli Anahtar"
"Stripe Settings";"Şerit ayarları"
"Success";"Başarı"
"Success.";"Başarı."
"Thank you!";"Teşekkür Ederim!"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Ödeme iptal edildi, yanlış bir şey mi oldu? Bizimle temas kurmaktan çekinmeyin."
"This customer doesn't exists in our database or is an administrator account. Please register.";"Bu müşteri bizim veritabanımızda var ya da bir yönetici hesabı yok. Lütfen kayıt olun."
"This email is invalid. Please enter a valid Email.";"Bu e-posta geçersiz. Geçerli bir e-Posta girin lütfen."
"Username*:";"Kullanıcı adı*:"
"Variation:";"Varyasyon:"
"Woocommerce Settings";"Woocommerce Ayarları"
"Woocommerce url";"Woocommerce url"
"Your account has been created successfully";"Hesabınız var başarıyla oluşturuldu "
"Your card has been declined.";"Kartınız iptal edilmiş."
"Your cart";"Sepeti "
"Your cart is empty.";"Sepetiniz boş."
"Your order has been created successfully, please choose a payment method below:";"Siparişiniz başarıyla oluşturuldu, aşağıda bir ödeme yöntemi seçiniz:"
"Your payment has been done successfully.";"Ödemeniz başarıyla yapıldı."
