"mbprecise_AM / PM format";"Формат AM / PM"
"mbprecise_Add a field";"Добавить поле"
"mbprecise_Are you sure you want to remove this field ?";"Вы уверены, что хотите удалить это поле ?"
"mbprecise_Button to pick today";"Кнопка для выбора сегодня"
"mbprecise_Close time button text";"Текст кнопки закрытия времени"
"mbprecise_Color List";"Список Цветов"
"mbprecise_Config";"Конфигурация"
"mbprecise_Config & model saved successfully";"Конфигурация и модель успешно сохранены"
"mbprecise_Config error while trying to save";"Ошибка конфигурации при попытке сохранить"
"mbprecise_Content Html";"Контент в HTML"
"mbprecise_Content to display after form submission";"Контент для отображения после отправки формы"
"mbprecise_Data";"Данные"
"mbprecise_Data received from users";"Данные полученные от пользователей"
"mbprecise_Data recieved time";"Время получения данных"
"mbprecise_Date";"Дата"
"mbprecise_Date Format";"Формат даты"
"mbprecise_Days list";"Список дней"
"mbprecise_Default value";"Значение по умолчанию"
"mbprecise_Default value On/Off";"Значение по умолчанию Вкл/Выкл"
"mbprecise_Description";"Описание"
"mbprecise_Divider";"Разделитель"
"mbprecise_Email";"email"
"mbprecise_Email, text, number, date... Start by adding a field to your form model to define what user will be able to send you throught it.";"Email, текст, число, Дата... начнем с добавления полей в вашей форме модель, чтобы определить, что пользователь сможет отправлять вам через это."
"mbprecise_Feature id to open after form submission";"Страница функции, которая открывается после отправки формы"
"mbprecise_Footer";"Подвал"
"mbprecise_Form Configuration";"Конфигурация формы"
"mbprecise_Header";"Описание"
"mbprecise_Here is where you can configure what kind of data your form will receive.";"Здесь можно настроить, какие данные будет получать ваша форма."
"mbprecise_Hour format";"Часовой формат"
"mbprecise_Html separator";"разделитель Html"
"mbprecise_Id";"Id"
"mbprecise_Incomplete form message";"Краткое сообщение формы"
"mbprecise_Incomplete form title";"Краткое название формы"
"mbprecise_Invalid email message";"неверный email"
"mbprecise_Long Text";"Длинный текст"
"mbprecise_Max";"Max"
"mbprecise_Min";"Min"
"mbprecise_Model";"Модель"
"mbprecise_Model Configuration";"Конфигурация Модели"
"mbprecise_Monday as first day";"Понедельник как первый день"
"mbprecise_Months list";"Список месяцев"
"mbprecise_Multi List";"Мульти список"
"mbprecise_New field";"Новое поле"
"mbprecise_No field in this form model yet";"Поля в этой модели еще нет"
"mbprecise_Number of decimal";"Десятичное число"
"mbprecise_PlaceHolder";"Место заполнения"
"mbprecise_Please enter new item id";"Пожалуйста введите новый id элемента"
"mbprecise_Range";"Диапазон"
"mbprecise_Receiver mail address";"email получателя"
"mbprecise_Required";"Обязательно"
"mbprecise_Required field message";"Обязательное поле сообщение"
"mbprecise_Select list";"Список выбора"
"mbprecise_Set time button text";"Установить текст кнопки времени"
"mbprecise_Step";"Шаг"
"mbprecise_Submit button text";"текст кнопки ОТПРАВИТЬ"
"mbprecise_Text";"Текст"
"mbprecise_Time";"Время"
"mbprecise_Today button text";"Текст на кнопке СЕГОДНЯ"
"mbprecise_Toggle";"Переключатель"
"mbprecise_Type";"Тип"
"mbprecise_Value list";"Список значений"
"mbprecise_add";"добавить"
"mbprecise_add new entrie";"добавление нового контакта"
"mbprecise_apply";"применить"
"mbprecise_cancel";"закрыть"
"mbprecise_color";"цвет"
"mbprecise_date";"дата"
"mbprecise_divider";"разделитель"
"mbprecise_edit";"редактировать"
"mbprecise_email";"email"
"mbprecise_export csv";"export csv"
"mbprecise_export json";"export в json"
"mbprecise_features to open after submission";"страница открытия после отправки"
"mbprecise_field id";"ID поля"
"mbprecise_longtext";"длинный текст"
"mbprecise_max_length";"max_длина"
"mbprecise_multilist";"мульти лист"
"mbprecise_number";"номер"
"mbprecise_range";"диапазон"
"mbprecise_remove";"удалить"
"mbprecise_selectlist";"выбор списка"
"mbprecise_separatorhtml";"Код html"
"mbprecise_show";"смотреть"
"mbprecise_text";"текст"
"mbprecise_this id is al-ready used by some other field";"этот идентификатор уже используется другим полем"
"mbprecise_time";"время"
"mbprecise_toggle";"переключатель"
