"%s must be a numerical value";"%s должно быть числовое значение"
"%s must be a valid date (e.g. dd/mm/yyyy)";"%s должна быть действительная Дата (e.g. dd/mm/yyyy)"
"%s must be a valid email address";"%s должен быть действительный адрес электронной почты"
"%s must be filled";"%s должен быть заполнен"
"Add a grade";"Добавить класс"
"Add a logic trigger";"Добавить логику триггера"
"Add a picture";"Добавить фото"
"Add a question";"Добавить вопрос"
"Add a section";"Добавить раздел"
"Add an option";"Добавить опцию"
"All defined options must have a label!";"Все определенные параметры должны иметь этикетку!"
"Always";"Всегда"
"An error occurred";"Произошла ошибка"
"An error occurred while saving";"Ошибка при сохранении"
"An error occurred while saving. A field can\'t be identified.";"Произошла ошибка при сохранении. Поле может\'т быть идентифицированы."
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"An identical published quiz already exists!";"Идентичный тест уже существует!"
"An unexpected error occured";"Произошла непредвиденная ошибка"
"Answer is required";"Ответа не требуется"
"Answer must be a numerical value";"Ответ должен быть в цифрах"
"Answer must be a valid date";"должен быть действительным по Дате"
"Answer must be a valid email";"должен быть действительный email"
"Answers:";"Ответы:"
"Are you sure you want to delete this grade ?";"Вы уверены, что хотите удалить этот класс ?"
"Are you sure you want to publish this quiz? You will not be able to modify it once it has been published.";"Вы уверены, что хотите опубликовать этот тест? Вы не сможете изменить его, как только он был опубликован."
"Are you sure you want to remove this option?";"Вы уверены, что хотите удалить эту опцию?"
"Are you sure you want to remove this question?";"Вы уверены, что хотите удалить этот вопрос?"
"Are you sure you want to remove this section?";"Вы уверены, что хотите удалить этот раздел?"
"Are you sure you want to remove this trigger?";"Вы уверены, что хотите удалить этот триггер?"
"Cancel";"Отменить"
"Checkbox";"Флажок"
"Choose a question type";"Выберите Тип вопроса"
"Choose a question type:";"Выберите Тип вопроса:"
"Close";"Закрыть"
"Correct answer ?";"Правильный ответ ?"
"Create a new question";"Создайте новый вопрос"
"Current quiz";"Текущий тест"
"Date/Hour";"Дата/Час"
"Delete";"Удалить"
"Download CSV";"Скачать CSV"
"Drop down";"Снизу"
"Edit question %s";"Редактировать вопрос %s"
"Email";"Email"
"End quiz";"Конец викторины"
"Error";"Ошибка"
"Finish";"Конец"
"From";"От"
"Geolocation";"Геолокация"
"Grade name:";"Имя класса:"
"Grade summary:";"Резюме класс:"
"Grades";"Классы"
"Hide question";"Скрыть вопрос"
"Hide question:";"Скрыть вопрос:"
"Home";"Главная"
"Image";"Изображения"
"Import from Library";"Импорт из библиотеки"
"Instructions";"Инструкции"
"Manage";"Управление"
"Manage logic triggers";"Управлять логикой триггеров"
"Manage logic triggers:";"Управлять логикой триггеров:"
"Manage model";"Управление викториной"
"Manage options";"Управление параметрами"
"Manage options:";"Управление параметрами:"
"Multiline text";"Многострочный текст"
"Name";"Название"
"Next";"Далее"
"No quiz at the moment!";"Нет викторины на данный момент!"
"No uploaded image";"Не загружаются изображения"
"Number";"Количество"
"OK";"Ок"
"Option";"Вариант"
"Please enter a name to publish this quiz.";"Пожалуйста, введите название, чтобы опубликовать этот тест."
"Please enter a thank you message to publish this quiz.";"Пожалуйста, введите сообщение чтобы опубликовать этот тест."
"Please select a value";"Пожалуйста, выберите значение"
"Previous";"Предыдущие"
"Previous quiz(s)";"Просмотр викторины"
"Publish";"Опубликовать"
"Publish Quiz";"Публикация Викторины"
"Publish quiz";"Публикация Викторины"
"Question";"Вопрос"
"Questions";"Вопросы"
"Quiz successfully published";"Тест успешно опубликован"
"Radio";"Радио"
"Results";"Результаты"
"Results of published quiz will appear here.";"Результаты викторины будут появляться здесь."
"Results screen";"Экран результатов"
"Save";"Сохранить"
"Score range:";"Диапазон баллов:"
"Score:";"Результат:"
"Send";"Отправить"
"Settings";"Параметры"
"Show correct answers after each question";"Показывать правильные ответы после каждого вопроса"
"Show correct answers for every asked questions";"Показать правильные ответы на все задаваемые вопросы"
"Show correct answers percentage";"Показать процент правильных ответов"
"Show grade corresponding to score";"Показать класс, соответствующий результат"
"Show score";"Показать результат"
"Skip to question";"Пропустить вопрос"
"Skip to question:";"Переход к вопросу:"
"Text";"Текст"
"Text:";"Текст:"
"Thank you message";"Спасибо сообщение"
"This is a preview of your quiz, it shows current sections and questions set in the editor.";"Это предварительный тест, он показывает текущие разделы и вопросы, поставленные в редакторе."
"This is the last question. There is no questions you can skip to or hide.";"Это последний вопрос. Нет вопросов, которые вы можете пропустить или скрыть."
"This name has already been used for a published quiz.";"Это название уже используется для опубликованного опроса."
"This name will not be visible to users, it will be shown in the results view.";"Это название не будет отображаться для пользователей, он будет показан в представлении результатов."
"This question is required";"Этот вопрос является обязательным"
"Time";"Время"
"Time limit:";"Лимит времени:"
"Total answers";"Общие ответы"
"Unrecognized image format";"Неизвестный Формат изображения"
"Use 0 seconds for unlimited time";"Используйте 0 секунд для неограниченного времени"
"View results";"Просмотреть результаты"
"When answer is";"При ответе"
"When answer is:";"При ответе:"
"You have to choose a question type.";"Вы должны выбрать тип вопроса."
"You must define options for your question";"Вы должны определить параметры для вашего вопроса"
"Your score:";"Ваша оценка:"
"Your users will see this message at the bottom of the result page once their quiz answers sent.";"Ваши пользователи будут видеть это сообщение в нижней части страницы результат после их викторину ответы отправила."
"Your users will see this message once their quiz answers sent.";"Ваши пользователи будут видеть это сообщение после их ответов."
"answer(s)";"ответ(ы)"
"optional";"необязательно"
"percent correct";"процент правильных"
"points";"баллы"
"to";"для"
