"Payment";"Оплата"
"Payment order N";"Оплата заказа №"
"Wait...";"Ждите...."
"Pay now";"Оплатить сейчас"
"Pay later";"Оплатить позже"
"You can go to the payment now, pay later or go back and choose another payment method.";"Теперь вы можете перейти к оплате, или оплатить позже."
"Your order has been saved and is awaiting payment.";"Заказ был сохранен и ожидает оплаты"
"Intro text";"Текст в окне при оформлении"
"Complete text";"Текст в счете после оплаты"
"Cancel text";"Текст в счете после отмены"
"Title";"Заголовок"
"Paid";"Оплачено"
"Complete";"Завершено"
"Status after payment";"Статус заказ после оплаты"
"You must be registerd customer!";"Вы должны зарегестрироваться вначале"
"An bill has been created for payment, but you do not have enough funds in your wallet to pay for it.";"Счет был создан, но в вашем кошельке нет средств для его оплаты."
"Refill your balance, after which you can pay this bill from your wallet in the bills section.";"Пополните баланс кошелька, после чего вы можете оплатить этот счет в разделе счетов."
