"<b>File types:</b> %s<br />";"<b>Типы файлов:</b> %s<br />"
"Add";"Добавить"
"Add a page";"Добавить страницу"
"An error occurred during the process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, попробуйте позже."
"An error occurred while deleting your preview. Please try again later.";"Произошла ошибка при удалении вашего предварительного просмотра. Пожалуйста, попробуйте позже."
"An error occurred while saving your previews. Please try again later.";"Произошла ошибка при удалении вашего предварительного просмотра. Пожалуйста, попробуйте позже."
"Click here to send your image";"Нажмите здесь, чтобы отправить изображение"
"Create a new preview";"Создайте новый предварительный просмотр"
"Delete image";"Удалить изображение"
"Delete translation";"Удалить перевод"
"Description";"Описание"
"Drag and drop images to reorder them.";"Перетащите изображения, чтобы изменить их порядок."
"Drop your image here";"Оставьте свое изображение здесь"
"Edit the preview";"Изменить предварительный просмотр"
"Existing images :";"Существующие изображения:"
"Feature";"Функция"
"Language";"Язык"
"List of existing previews";"Список существующих превью"
"OR";"Или"
"Preview images";"Предварительный просмотр изображений"
"Preview successfully saved";"Просмотр успешно сохранен"
"Previews";"Превью"
"Search";"Поиск"
"Sorry, but an existing preview for this feature has been found. Please edit existing one.";"Извините, но существующий предварительный просмотр для этой функции был найден. Пожалуйста, отредактируйте существующий."
"Title";"Название"
"Unable to copy the file.";"Невозможно скопировать файл."
"Unable to create the directory.";"Невозможно создать каталог."
"Unable to delete the file %s";"Не удается удалить файл %s"
"Unable to delete the file.";"Невозможно удалить файл."
"You don't have any previews yet";"У вас пока нет предварительных просмотров"
"Your image has been successfully saved";"Ваше изображение было успешно сохранено"
"Your preview has been deleted successfully.";"Ваш предварительный просмотр был успешно удален."
"Your preview translation has been deleted successfully.";"Ваш предварительный перевод был успешно удален."
