"Are you sure?";"Вы уверены?"
"Background color";"Цвет фона"
"Cancel";"Отменить"
"Cast shadow";"сбросить тень"
"Center";"Центр"
"Clipart";"Графические материалы"
"Color";"Цвет"
"Don't trim";"Не обрезать"
"Effect";"Эффект"
"Elevate";"Поднять"
"Font";"Шрифт"
"Foreground";"На переднем плане"
"From fonts.google.com";"От fonts.google.com"
"Image";"Изображения"
"Name";"Название"
"None";"Нет"
"Padding";"Обивка"
"Save";"Сохранить"
"Scaling";"Масштабирование"
"Score";"Оценка"
"Set to transparent to use original colors";"Установить прозрачный использовать оригинальные цвета"
"Shape";"Формы"
"Text";"Текст"
"Trim whitespace";"Обрезать пробел"
"Yes, save changes!";"Да, сохранить изменения!"
"Your starup images and Icons will be replaced with changes.";"Ваши изображения и иконки папок заменяются изменения."
