"#bookmarked";"#закладки"
"%s is interested by your ad %s";"%s заинтересовало ваше объявление на %s"
"Ad has been saved successfully";"Объявление успешно сохранено"
"Add a category";"Добавить категорию"
"Add a section";"Добавить раздел"
"Address";"Адрес"
"Address is not inside authorized area";"Адрес не в установленном районе"
"Address latitude and longitude are missing";"Укажите широту и долготу"
"Ads expiration";"Срок действия объявлений"
"All categories";"Все категории"
"All fields are mandatory, photos are optional";"Все поля являются обязательными, фотографии не являются обязательными"
"An error occured";"Ошибка"
"An error occured.";"Произошла ошибка."
"An unexpected error prevent this ad to be saved!";"Неожиданная ошибка..."
"An unkown error occured";"Неизвестная ошибка"
"Are you sure ?";"Вы уверены ?"
"Are you sure you want to change the status of this ad?";"Вы уверены, что хотите изменить статус этого объявления?"
"Are you sure you want to delete this category and all ads using it";"Вы уверены, что хотите удалить этот раздел и все объявления?"
"Are you sure you want to delete this section, all of its subcategories and all ads using them";"Вы уверены, что хотите удалить этот раздел, во всех его городах?"
"Bookmark ad";"Закладка объявления"
"Cancel";"Отменить"
"Cancel ad";"Отменить объявление"
"Cancelled";"Отменен"
"Categories";"Категории"
"Category";"Категория"
"Category not found";"Категория не найдена"
"Category:";"Категории:"
"Change status";"Изменение статуса"
"City";"Город"
"Close";"Закрыть"
"Contact";"Контакты"
"Could not check country limitation";"Не удалось проверить ограничение по стране"
"Could not find ad";"Не могу найти объявление"
"Could not find category";"Не могу найти категории"
"Could not find customer";"Не могу найти клиента"
"Could not find or create shop";"Не удается найти или создать магазин"
"Could not find requested ad";"Не удалось найти запрашиваемое объявление"
"Could not find seller";"Не могу найти продавца"
"Could not find shop";"Не могу найти магазин"
"Could not find your current location";"Не могу найти ваше текущее местоположение"
"Country";"Страна"
"Country is not authorized";"Страна не разрешена"
"Date";"Дата"
"Default View";"Вид по умолчанию"
"Description";"Описание"
"Description is mandatory and should be at least 15 characters long";"Описание является обязательным и должно быть не менее 15 символов"
"Drag Me";"Перетащите Меня"
"Edit ad";"Редактировать объявления"
"Email";"E-mail"
"Email is mandatory";"E-mail является обязательным"
"Email should be valid";"E-mail должнен быть действительным"
"Email:";"E-mail:"
"Error";"Ошибка"
"Expired";"Истек"
"Flag as inappropriate";"Пожаловаться"
"Flagged";"Отмеченные"
"From:";"От:"
"Hi. I just found: $1 for $2 in the $3 app.";"Привет. Я только что нашел: $1 за $2 в приложении $3 ."
"Hide my address";"Скрыть мой адрес"
"Hide my phone";"Скрыть мой телефон"
"High to Low";"максимальные"
"If address is hidden, your ad will not be visible on public map";"Если адрес скрыт, ваше объявление не будет отображаться на общей карте"
"Import from Library";"Импорт из библиотеки"
"Limit ads to this country only";"Ограничение объявлений только для этой страны"
"List";"Список"
"Low to High";"минимальные"
"Manage ads";"Управление объявлением"
"Map";"Карта"
"Mark ad as sold";"Пометить объявление как продано"
"Max price:";"Макс. цена:"
"Message sent";"Сообщение отправлено"
"Message:";"Сообщение:"
"Min price:";"Мин. цена:"
"Moderate Ads";"Модерируемое Объявления"
"My shop";"Мой кабинет"
"New ad";"Новые объявления"
"Newest first";"Сначала новые"
"No items found";"ничего не найдено"
"OK";"Ок"
"Oldest first";"Сначала старые"
"Only 3 pictures are allowed";"Разрешено только 3 фотографии"
"Order by:";"Выбор:"
"Pending";"В ожидании"
"Phone";"Телефон"
"Phone is mandatory";"Телефон является обязательным"
"Phone:";"Телефон:"
"Please choose";"Пожалуйста, выберите"
"Price";"Цена"
"Price is mandatory";"Цена является обязательной"
"Price is required ?";"Цена обязательна ?"
"Price:";"Цена:"
"Publish";"Опубликовать"
"Published";"Опубликовано"
"Radius";"Радиус"
"Remove picture";"Удалить картинку"
"Reset flags";"Сброс флажков"
"Save";"Сохранить"
"Saved!";"Сохранено!"
"Search";"Поиск"
"Send";"Отправить"
"Send an email";"Отправить по email"
"Sent!";"Отправлено!"
"Settings";"Параметры"
"Shop ID";"Идентификатор магазина"
"Show bookmarked ads only";"Показать закладки объявлений"
"Show only ads including:";"Показывать объявления, в том числе:"
"Sold";"Продается"
"Some errors prevent this ad to be saved:";"Некоторые ошибки не позволяют сохранить это объявление:"
"Some errors prevents your message to be sent:";"Некоторые ошибки предотвращают отправку вашего сообщения:"
"Status";"Статус"
"Status changed successfully";"Статус успешно изменен"
"Status is not authorized";"Статус - не разрешено"
"Status:";"Статус:"
"Success";"Успешно"
"Successfully flagged as inappropriate!";"Успешно помечен как неуместный!"
"Take a picture";"Сфотографировать"
"Title";"Название"
"Title is mandatory";"Заголовок является обязательным"
"Unbookmark ad";"Разметить объявление"
"Uncancel ad";"Отменить объявление"
"Unknown customer";"Неизвестный клиент"
"Unknown error";"Неизвестная ошибка"
"Unmark ad as sold";"Снять объявление с продажи"
"View details";"Посмотреть детали"
"Your ad has been flagged";"Ваше объявление было отмечено"
"Your email";"Ваш email"
"Your message";"Ваше сообщение"
"Your message has been sent successfully!";"Ваше сообщение было успешно отправлено!"
"Your name";"Ваше имя"
"Zip Code:";"Почтовый Индекс:"
"address";"Адрес"
"and";"и"
"category: %s";"Категория: %s"
"email should be valid";"Email должно быть действительным"
"max: %s";"Макс: %s"
"message should be present and 50 characters long at least";"в сообщение должно быть не менее 50 символов"
"min: %s";"мин: %s"
"name should be present";"имя должно быть указано"
"order: %s";"заказ: %s"
"phone";"Телефон"
"pictures";"фотографии"
"Pictures";"Фото"
"with: %s";"с: %s"
"zip: %s";"индекс: %s"
