" of the ";" bu "
" setting.";" ayar."
"%s %s";"%%s s"
"%s Image%s";"%s Resim%s "
"1 An error occurred while saving. Please try again later.";"1 kaydedilirken Bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"1An error occurred while saving. Please try again later.";"1An kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyin."
"2 An error occurred while saving. Please try again later.";"2 kaydedilirken Bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"20,00 %";"20.00 %"
"2An error occurred while saving. Please try again later.";"2 kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyin."
"2Checkout subscription is inactive, tray again later.";"2Checkout abonelik daha sonra tekrar aktif olmayan, tepsi."
"3 An error occurred while saving. Please try again later.";"3 kaydedilirken Bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"3An error occurred while saving. Please try again later.";"3An kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyin."
"403 Forbidden";"403 Yasak"
"<b>%s</b> is not supported with the current currency <b>%s</b>!";"<b>%s</b> geçerli para birimi <b>%s</b>ile desteklenmiyor."
"<b>Danger zone</b>: below you can definitively delete your account.";"kesinlikle hesabınızı silebilirsiniz aşağıda <b>Tehlike bölgesi</b>."
"<b>Warning:</b> translation API is experimental for the current language and may fail.";"<b>Uyarı:</b> çeviri API geçerli dil için deneysel ve başarısız olabilir."
"A new user just registered!";"Yeni bir kullanıcı sadece kayıtlı!"
"A user just made a new subscription on the Platform <b>%s</b>, for the Application <b>%s</b>.";"Bir kullanıcı sadece Platform <b>%s</b> yeni bir abonelik yapılmış, Uygulama <b>%s</b>için."
"A user registered on your Platform %s";"Platform %kayıtlı kullanıcı s"
"APK Generation";"Kuru temizleme Nesil"
"APK build failed!";"MUAYENE oluşturma başarısız oldu!"
"APK build succeed!";"Başarılı MUAYENE yapın!"
"APK generation for App: %s";"Uygulama için MUAYENE nesil: %s"
"Account Created";"Hesap Oluşturuldu"
"Activate the user";"Kullanıcı etkinleştirmek "
"Activating or Deactivating a parent subscription will apply to it's childs.";"Etkinleştirme veya üst bir abonelik devre dışı bırakılmasına kadar childs için geçerlidir."
"Activation";"Aktivasyon"
"Activation of your Subscription!";"Aboneliğinizin aktivasyonu!"
"Active subscriptions with remaining slots.";"Kalan slot ile aktif abonelikleri."
"Add a region";"Bölge eklemek "
"Adding %s to SAN.";"Ekleme SAN %s."
"Admin Cancellation";"Admin İptal"
"AdminId is required to save the Application.";"Adminİd Uygulama kaydetmek için gereklidir."
"Album:";"Albüm:"
"All sessions are now migrated to Redis.";"Tüm oturumlar şimdi Redis geçirilir."
