"Add a pin";"Bir pin Ekle "
"Add an illustration";"Bir Resim Ekle "
"Apply";"Uygula"
"Apply default pin to all existing places.";"Mevcut tüm yerler için varsayılan pın uygulamak."
"Are you sure you want to delete this customer?";"Bu müşteriyi silmek istediğinizden emin misiniz?"
"Default pin for new places";"Yeni yerler için varsayılan pın "
"Display illustration in page";"Sayfa görüntü illüstrasyon "
"Display subtitle in page";"Sayfa görüntüleme altyazı "
"Display title in page";"Sayfada görünen başlık "
"Google default pin";"Google varsayılan pın"
"If the map icon is not uploaded, it will fallback to default Google Maps pin.";"Eğer harita simgesi karşıya değilse, pin Google Maps varsayılan geri dönüş olacaktır."
"Illustration";"Resimde"
"Illustration > Thumbnail";"Resimde > Küçük"
"Map icon";"Harita simgesi"
"Name, locality, etc...";"Adı, yerellik, vb..."
"No, go back";"Hayır, geri dön "
"Pin";"Pimi"
"Places image priority in list";"Listesi görüntü önceliği yerler "
"Registered";"Kayıtlı"
"The pin value is required";"Pin değeri gereklidir "
"Thumbnail > Illustration";"Küçük Resim > Resimde"
"Validate";"Doğrulamak"
"We are unable to delete this customer!";"Bu müşteri silemiyor!"
