"--- Please Select ---";"--- Выберите ---"
"A new password has been sent to your e-mail address.";"Новый пароль был отправлен на ваш e-mail"
"ACCOUNT";"Аккаунт"
"About me";"О нас"
"Account";"Аккаунт"
"Add New Address";"Добавить новый адрес"
"Add to cart";"Добавить в корзину"
"Add to cart successfully";"Добавлено в корзину"
"Address";"Адрес"
"Address 1";"Адрес 1"
"Address 1 is required.";"Адрес 1 является обязательным."
"Address 2";"Адрес 2"
"Address Book";"Адресная книга"
"After click on confirm you will be redirect to PayPal";"После нажатия на подтверждение вы будете перенаправлены на PayPal"
"All Categories";"Все категории"
"Already exists";"Уже существует"
"Apply Coupon";"Применить Купон"
"Are you sure you want to remove this item from this list?";"Вы уверены, что хотите удалить этот пункт из этого списка?"
"Availability:";"Наличие:"
"Available Options";"Доступные Варианты"
"Available in";"Доступен в"
"Back";"Обратно"
"Bad";"Плохо"
"Bank Transfer";"Банковский Перевод"
"Bank:";"Банк:"
"Brand";"Бренд"
"CONFIRM ORDER";"ПОДТВЕРДИТЕ ЗАКАЗ"
"Canceled";"Отменить"
"Card Number";"Номер Карты"
"Cash On Delivery";"Наложенным платежом"
"Categories";"Категории"
"Checkbox";"Флажок"
"Checkout";"Оформить"
"City";"Город"
"Click on button for processed with PayPal";"Нажмите на кнопку для обработки с помощью PayPal"
"Close";"Закрыть"
"Color";"Цвет"
"Comment";"Отзыв"
"Comment should be at least 25 characters in length";"Комментарий должен быть не менее 25 символов в длину"
"Comments";"Комментарии"
"Company";"Компания"
"Company ";"Компания"
"Company ID";"Компания ID"
"Complete";"Полный"
"Continue";"Продолжить"
"Country";"Страна"
"Country is required.";"Выберите страну."
"Coupon Code";"Код Купона"
"Coupon Code is required.";"Требуется код купона."
"Coupon is either invalid, expired or reached its usage limit!";"Купон либо недействителен, просрочен или достигнут его лимит использования!"
"Coupon is either required";"Требуется купон"
"Credit or Debit Card (Processed securely by Stripe)";"Кредитной или дебетовой карты (Processed securely by Stripe)"
"Date";"Дата"
"Date & Time";"Дата И Время"
"Date Added:";"Добавлено:"
"Date:";"Дата:"
"Delivered";"Доставили"
"Delivery Methods";"Способы Доставки"
"Delivery between 2 and 3 days";"Доставка от 2 до 3 дней"
"Deposit Or Transfer";"Депозит или безнал"
"Deposit or Wire Transfer";"Депозит или Банковский перевод"
"Description";"Описание"
"Email";"Email"
"Empty";"пустой"
"Enter the e-mail address associated with your account. Click submit to have your password e-mailed to you.";"Введите адрес электронной почты, связанный с вашей учетной записью. Нажмите «Отправить», чтобы ваш пароль был отправлен вам по электронной почте."
"Enter your coupon here";"Введите ваш купон здесь"
"Entity:";"организация:"
"Estimated Taxes";"Цена с налогом"
"FAQs";"FAQs"
"FEED";"FEED"
"Featured Brands";"Популярные бренды"
"Find";"Найти"
"First Name";"Имя"
"Five Star";"Пять Звезд"
"Flat Shipping Rate";"Фиксированная Стоимость Доставки"
"Forgot Your Password?";"Забыли пароль?"
"Forgotten Password";"Забыли пароль"
"Four Star";"Четыре Звезды"
"Good";"Хорошо"
"HTML tags are not supported.";"HTML-теги не поддерживаются."
"Highlights";"Рекомендуемые"
"Holder:";"Держатель:"
"I want to use a new address";"Я хочу использовать новый адрес"
"I want to use an existing address";"Я хочу использовать существующий адрес"
"ITEMS IN CART";"В КОРЗИНЕ"
"If you already have an account with us, please login at the";"Если у вас уже есть аккаунт, пожалуйста, войдите в"
"Instructions for payment by deposit or bank transfer. Deposit or transfer the total order amount to:";"Инструкция по оплате депозита или банковского перевода. Оплата или перевод суммы заказа на:"
"Invalid comment.";"Недопустимый комментарий."
"Invalid email.";"Неверный адрес email."
"Invalid telephone.";"Неверный номер."
"Item removed";"Пункт удален"
"Item removed form list successfully";"Товар успешно удален"
"Keep card information";"Сохранить информацию о карте"
"LOGIN";"Логин"
"Last Name";"Фамилия"
"Like";"Like"
"Login";"Логин"
"Login Failed";"Ошибка входа"
"Logout";"Выход"
"Make a comment";"Оставить отзыв"
"Model (A - Z)";"Модель (А - Я)"
"Model (Z - A)";"Модель (Я - А)"
"Model:";"Модель:"
"Model: ";"Модель:"
"More..";"Больше.."
"NOTE: Please note these data before confirming the order.";"Примечание: Пожалуйста, обратите внимание, эти данные перед подтверждением заказа."
"Name (A - Z)";"Название (А - Я)"
"Name (Z - A)";"Название (Я - А)"
"No orders found";"Не найдено ни одного заказа"
"No shipping address found";"Без доставки"
"Notifcation Settings";"Настройки уведомлений"
"One Star";"Одна Звезда"
"Open Cart";"Open Cart"
"OpenCart";"OpenCart"
"Or Forgotten Password";"Или забыли пароль"
"Or create an account";"Или создать учетную запись"
"Or reset password";"Или сбросить пароль"
"Order Details";"Детали Заказа"
"Order ID:";"ID заказа:"
"Order Id:";"ID заказа:"
"Order Id: #";"ID Заказа: #"
"Order Information";"Информацию о заказе"
"Order Total";"Общая сумма"
"Order by";"Фильтр"
"Orders";"Заказы"
"PLACE ORDER";"ЗАКАЗ"
"Password";"Пароль"
"Password is required.";"Необходим пароль."
"PayPal";"PayPal"
"Payment Address";"Платежный Адрес"
"Payment Failed";"Платеж не прошел"
"Payment Failed, Please try after sometime";"Платеж не прошел, пожалуйста, попробуйте через некоторое время"
"Payment Method:";"Способ оплаты:"
"Payment Methods";"Способы оплаты"
"Payment by ATM or Homebanking";"Оплата через банкомат или удаленного"
"Pending";"В ожидании"
"Pickup From Store";"Самовывоз"
"Please select required fields";"Пожалуйста, выберите необходимые поля"
"Please select the preferred payment method to use on this order.";"Пожалуйста, выберите предпочтительный способ оплаты"
"Policy";"Политика"
"Post Code";"Почтовый Индекс"
"Post Code is required.";"Требуется индекс."
"Post Your Comment";"Оставьте свой отзыв"
