"%s - Your new password";"%s – Yeni şifreniz"
"A request to reset your password has been made to log in to your administration panel.";"Yönetim paneli şifrenizi sıfırlamak için bir talep oluşturuldu."
"Access";"Erişim"
"Account Role";"Hesap rolü"
"Account role";"Hesap rolü"
"Address 2:";"2. Adres"
"Address:";"Adres"
"Admin successfully deleted";"Yönetici silindi"
"Administrator : full access";"Yönetici: tam erişim"
"Administrator: full access";"Yönetici: tam erişim"
"An error occurred while saving. The country is not valid.";"Kaydedilirken bir hata oluştu. Ülke geçerli değil."
"Application";"Uygulama"
"Application have been duplicated successfully.";"Uygulamanız başarıyla kopyalandı."
"Are you sure you want to delete this application?";"Bu uygulamayı silmek istediğinizden emin misiniz?"
"Are you sure you want to duplicate this application?";"Uygulamayı kopyalamak istediğinizden emin misiniz?"
"Can add pages";"Sayfa eklenebilir mi"
"Can generate APK";"APK üretebilir"
"Can manage guided tour";"Rehberli tur düzenleyebilir."
"Change my password";"Şifremi değiştir"
"Company:";"Şirket:"
"Confirm your password";"Şifrenizi doğrulayın"
"Connect to your backoffice to validate this account.";"Bu hesabı doğrulamak için backoffice'e bağlanın."
"Create a new application";"Yeni bir uygulama yaratın"
"Create a new user";"Yeni kullanıcı oluşturun"
"Created At";"De Oluşturuldu"
"Created at %s";"%s te oluşturuldu"
"Do not hesitate to give us your feedback by sharing your needs:";"İhtiyaçlarınızı paylaşarak geri bildirimde bulunmak için tereddüt etmeyin."
"Edit the account \"%s\"";"\"%s\" hesabı güncelle"
"Edit the account %s";"%s hesabını düzelt"
"Edit the user %s";"%s kullanıcını düzenle"
"Enjoy!";"Tadını çıkarın!"
"Filter your apps...";"Uygulamalarınız filtreleyin..."
"Find some advices here:";"Burada bazı tavsiyeler bulun:"
"From";"-den"
"Hello, a new user has registered on your platform : %s.";"Merhaba, %s platformunuza yeni bir kullanıcı kaydoldu."
"Here are your credentials, keep them preciously:";"İşte kimlik bilgileriniz, lütfen gizli tutun:"
"List of admin accounts";"Yönetici hesapları listesi"
"List of my accounts";"Hesaplarımın listesi"
"List of your users";"Kullanıcılarınızın listesi"
"Log-in As";"Olarak giriş yapın"
"Manage access";"Erişimi yönet"
"My Applications";"Uygulamalarım"
"My information";"Bilgilerim"
"Need some help?";"Yardıma mı ihtiyacınız var?"
"New user registration on your platform";"Platformunuzda yeni kullanıcı kaydı"
"No account for now.";"Şu an için hesap yok."
"Please enter a valid email address.";"Lütfen geçerli bir email adresi girin"
"Please, enter an application name";"Lütfen bir uygulama ismi girin"
"Publication access type";"Yayınlama erişim türü"
"Ready to create your own apps?";"Kendi uygulamanızı oluşturmaya hazır mısınız?"
"Role";"Rol"
"Show All Applications";"Tüm Uygulamaları Göster"
"Sign up";"Kaydol"
"Sorry but an error occured while duplicating your application.";"Üzgünüz ancak uygulamanız kopyalanırken hata oluştu."
"State/Province";"İl"
"Thanks for choosing us!";"Bizi seçtiğiniz için teşekkür ederiz."
"The Support Team";"Destek Ekibi"
"The account role is required";"Bu hesap rolü gerekli"
"The password and the confirmation does not match.";"Doğrulama şifreniz uyuşmuyor."
"The password must be at least 6 characters.";"Şifre en az 6 karekter olmalıdır."
"This account is not activated yet. Please contact an administrator.";"Uygulama henüz aktif hale getirilmedi. Bir yönetici ile iletişime geçin."
"This admin can manage guided tour from editor";"Bu yönetici editörden  rehberli tur düzenleyebilir."
"This user has no applications yet.";"Bu kullanıcının henüz uygulaması yok."
"User successfully deleted";"Kullanıcı başarıyla silindi."
"View my current data";"Mevcut verileri görüntüle "
"We are sorry but this email address is already used.";"Üzgünüz ancak bu e-posta adresi kullanılıyor."
"Welcome!";"Hoşgeldiniz."
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Bunu çok seveceksiniz! Etkili özelliklerimiz sayesinde dakikalar içinde size özel bir mobil uygulamaya sahip olacaksınız."
"You can't delete the main account";"Ana hesabı silemezsiniz"
"You don't have any users yet";"Henüz bir kullanıcınız bulunmuyor"
"Your account have been created successfully. It will be activated soon.";"Hesabınız başarıyla oluşturuldu. Kısa süre içerisinde aktif hale getirilecek."
"Your credentials";"Kimlik bilgileriniz"
"Your login:";"Girişiniz:"
"Your password:";"Şifreniz:"
"Zip Code";"Posta kodu"
"to";"-e"
